11703
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-sixième extrait>,<>,<>
d',de,81
or,or,21
/.,/.,P
ses,son,73
pieds,pied,21
disparaissaient,disparaître,18
dans,dans,81
leur,leur,73
mouvement,mouvement,21
comme,comme,83
les,le,71
rayons,rayon,21
d',de,81
une,un,71
roue,roue,22
qui,qui,52
tourne,tourner,17
rapidement,rapidement,60
/.,/.,P
autour,autour,60
de,de,81
sa,son,73
tête,tête,22
",",",",p
dans,dans,81
ses,son,73
nattes,natte,22
noires,noir,30
",",",",p
il,il,51
y,y,52
avait,avoir,18
des,de,81
des,le,71
plaques,plaque,22
de,de,81
métal,métal,21
qui,qui,52
pétillaient,pétiller,18
au,à,81
au,le,71
soleil,soleil,21
et,et,82
faisaient,faire,18
à,à,81
son,son,73
front,front,21
une,un,71
couronne,couronne,22
d',de,81
étoiles,étoile,22
/.,/.,P
sa,son,73
robe,robe,22
semée,semé,31
de,de,81
paillettes,paillette,22
scintillait,scintiller,18
bleue,bleu,30
et,et,82
piquée,piqué,31
de,de,81
mille,mille,72
étincelles,étincelle,22
comme,comme,83
une,un,71
nuit,nuit,22
d',de,81
été,été,21
/.,/.,P
ses,son,73
bras,bras,21
souples,souple,30
et,et,82
bruns,brun,30
se,se,51
nouaient,nouer,18
et,et,82
se,se,51
dénouaient,dénouer,18
autour,autour,60
de,de,81
sa,son,73
taille,taille,22
comme,comme,83
deux,deux,72
écharpes,écharpe,22
/.,/.,P
la,le,71
forme,forme,22
de,de,81
son,son,73
corps,corps,21
était,être,18
surprenante,surprenant,30
de,de,81
beauté,beauté,22
/.,/.,P
oh,oh,93
!,!,p
la,le,71
resplendissante,resplendissant,30
figure,figure,22
qui,qui,52
se,se,51
détachait,détacher,18
comme,comme,83
quelque,quelque,75
chose,chose,22
de,de,81
lumineux,lumineux,30
dans,dans,81
la,le,71
lumière,lumière,22
même,même,30
du,de,81
du,le,71
soleil,soleil,21
!,!,p
/…,/…,P
-,-,p
hélas,hélas,60
!,!,p
jeune,jeune,30
fille,fille,22
",",",",p
c',ce,52
était,être,18
toi,toi,51
/.,/.,P
-,-,p
surpris,surpris,31
",",",",p
enivré,enivré,31
",",",",p
charmé,charmé,31
",",",",p
je,je,51
me,je,51
laissai,laisser,19
aller,aller,14
à,à,81
te,tu,51
regarder,regarder,14
/.,/.,P
je,je,51
te,tu,51
regardai,regarder,19
tant,tant,60
que,que,83
tout,tout,60
à,à,81
coup,coup,21
je,je,51
frissonnai,frissonner,19
d',de,81
épouvante,épouvante,22
",",",",p
je,je,51
sentis,sentir,19
que,que,83
le,le,71
sort,sort,21
me,je,51
saisissait,saisir,18
/.,/.,P
le,le,71
prêtre,prêtre,21
",",",",p
oppressé,oppressé,31
",",",",p
s',se,51
arrêta,arrêter,19
encore,encore,60
un,un,71
moment,moment,21
/.,/.,P
puis,puis,60
il,il,51
continua,continuer,19
/.,/.,P
-,-,p
déjà,déjà,60
à,à,81
demi,demi,30
fasciné,fasciné,31
",",",",p
j',je,51
essayai,essayer,19
de,de,81
me,je,51
cramponner,cramponner,14
à,à,81
quelque,quelque,75
chose,chose,22
et,et,82
de,de,81
me,je,51
retenir,retenir,14
dans,dans,81
ma,mon,73
chute,chute,22
/.,/.,P
je,je,51
me,je,51
rappelai,rappeler,19
les,le,71
embûches,embûche,22
que,que,52
Satan,Satan,20
m',je,51
avait,avoir,18
déjà,déjà,60
tendues,tendre,12
/.,/.,P
la,le,71
créature,créature,22
qui,qui,52
était,être,18
sous,sous,81
mes,mon,73
yeux,oeil,21
avait,avoir,18
cette,ce,74
beauté,beauté,22
surhumaine,surhumain,30
qui,qui,52
ne,ne,60
peut,pouvoir,17
venir,venir,14
que,que,83
du,de,81
du,le,71
ciel,ciel,21
ou,ou,82
de,de,81
l',le,71
enfer,enfer,21
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
là,là,60
une,un,71
simple,simple,30
fille,fille,22
faite,fait,31
avec,avec,81
un,un,71
peu,peu,60
de,de,81
notre,notre,73
terre,terre,22
",",",",p
et,et,82
pauvrement,pauvrement,60
éclairée,éclairé,31
à,à,81
l',le,71
intérieur,intérieur,21
par,par,81
le,le,71
vacillant,vaciller,13
rayon,rayon,21
d',de,81
une,un,71
âme,âme,22
de,de,81
femme,femme,22
/.,/.,P
c',ce,52
était,être,18
un,un,71
ange,ange,21
!,!,p
mais,mais,82
de,de,81
ténèbres,ténèbre,22
",",",",p
mais,mais,82
de,de,81
flamme,flamme,22
et,et,82
non,non,60
de,de,81
lumière,lumière,22
/.,/.,P
au,à,81
au,le,71
moment,moment,21
où,où,60
je,je,51
pensais,penser,18
cela,cela,52
",",",",p
je,je,51
vis,vivre,17
près,près,81
de,de,81
toi,toi,51
une,un,71
chèvre,chèvre,22
",",",",p
une,un,71
bête,bête,22
du,de,81
du,le,71
sabbat,sabbat,21
",",",",p
qui,qui,52
me,je,51
regardait,regarder,18
en,en,81
riant,rire,13
/.,/.,P
le,le,71
soleil,soleil,21
de,de,81
midi,midi,21
lui,lui,51
faisait,faire,18
des,de,81
des,le,71
cornes,corne,22
de,de,81
feu,feu,21
/.,/.,P
alors,alors,60
j',je,51
entrevis,entrevoir,19
le,le,71
piège,piège,21
du,de,81
du,le,71
démon,démon,21
",",",",p
et,et,82
je,je,51
ne,ne,60
doutai,douter,19
plus,plus,60
que,que,83
tu,tu,51
ne,ne,60
vinsses,venir,18
de,de,81
l',le,71
enfer,enfer,21
et,et,82
que,que,83
tu,tu,51
n',ne,60
en,en,52
vinsses,venir,18
pour,pour,81
ma,mon,73
perdition,perdition,22
/.,/.,P
je,je,51
le,le,52
crus,croire,19
/.,/.,P
ici,ici,60
le,le,71
prêtre,prêtre,21
regarda,regarder,19
en,en,81
face,face,22
la,le,71
prisonnière,prisonnière,22
et,et,82
ajouta,ajouter,19
froidement,froidement,60
:,:,p
-,-,p
je,je,51
le,le,52
crois,croire,17
encore,encore,60
/.,/.,P
-,-,p
cependant,cependant,82
le,le,71
charme,charme,21
opérait,opérer,18
peu,peu,60
à,à,81
peu,peu,60
",",",",p
ta,ton,73
danse,danse,22
me,je,51
tournoyait,tournoyer,18
dans,dans,81
le,le,71
cerveau,cerveau,21
",",",",p
je,je,51
sentais,sentir,18
le,le,71
mystérieux,mystérieux,30
maléfice,maléfice,21
s',se,51
accomplir,accomplir,14
en,en,81
moi,moi,51
",",",",p
tout,tout,52
ce,ce,52
qui,qui,52
aurait,avoir,16
dû,devoir,12
veiller,veiller,14
s',se,51
endormait,endormir,18
dans,dans,81
mon,mon,73
âme,âme,22
",",",",p
et,et,82
comme,comme,83
ceux,celui,52
qui,qui,52
meurent,mourir,17
dans,dans,81
la,le,71
neige,neige,22
je,je,51
trouvais,trouver,18
du,de,81
du,le,71
plaisir,plaisir,21
à,à,81
laisser,laisser,14
venir,venir,14
ce,ce,74
sommeil,sommeil,21
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
",",",",p
tu,tu,51
te,tu,51
mis,mettre,19
à,à,81
chanter,chanter,14
/.,/.,P
que,que,52
pouvais,pouvoir,18
je,je,51
faire,faire,14
",",",",p
misérable,misérable,22
/?,/?,P
ton,ton,73
chant,chant,21
était,être,18
plus,plus,60
charmant,charmant,30
encore,encore,60
que,que,83
ta,ton,73
danse,danse,22
/.,/.,P
je,je,51
voulus,vouloir,19
fuir,fuir,14
/.,/.,P
impossible,impossible,30
/.,/.,P
j',je,51
étais,être,18
cloué,clouer,12
",",",",p
j',je,51
étais,être,18
enraciné,enraciner,12
dans,dans,81
le,le,71
sol,sol,21
/.,/.,P
il,il,51
me,je,51
semblait,sembler,18
que,que,83
le,le,71
marbre,marbre,21
de,de,81
la,le,71
dalle,dalle,22
m',je,51
était,être,18
monté,monter,12
jusqu',jusque,81
aux,à,81
aux,le,71
genoux,genou,21
/.,/.,P
il,il,51
fallut,falloir,19
rester,rester,14
jusqu',jusque,81
au,à,81
au,le,71
bout,bout,21
/.,/.,P
mes,mon,73
pieds,pied,21
étaient,être,18
de,de,81
glace,glace,22
",",",",p
ma,mon,73
tête,tête,22
bouillonnait,bouillonner,18
/.,/.,P
enfin,enfin,60
",",",",p
tu,tu,51
eus,avoir,19
peut-être,peut-être,60
pitié,pitié,22
de,de,81
moi,moi,51
",",",",p
tu,tu,51
cessas,cesser,19
de,de,81
chanter,chanter,14
",",",",p
tu,tu,51
disparus,disparaître,19
/.,/.,P
le,le,71
reflet,reflet,21
de,de,81
l',le,71
éblouissante,éblouissant,30
vision,vision,22
",",",",p
le,le,71
retentissement,retentissement,21
de,de,81
la,le,71
musique,musique,22
enchanteresse,enchanteur,30
s',se,51
évanouirent,évanouir,19
par,par,81
degrés,degré,21
dans,dans,81
mes,mon,73
yeux,oeil,21
et,et,82
dans,dans,81
mes,mon,73
oreilles,oreille,22
/.,/.,P
alors,alors,60
je,je,51
tombai,tomber,19
dans,dans,81
l',le,71
encoignure,encoignure,22
de,de,81
la,le,71
fenêtre,fenêtre,22
",",",",p
plus,plus,60
raide,raide,30
et,et,82
plus,plus,60
faible,faible,30
qu',que,83
une,un,71
statue,statue,22
descellée,descellé,31
/.,/.,P
la,le,71
cloche,cloche,22
de,de,81
vêpres,vêpres,22
me,je,51
réveilla,réveiller,19
/.,/.,P
je,je,51
me,je,51
relevai,relever,19
",",",",p
je,je,51
m',je,51
enfuis,enfuir,19
",",",",p
mais,mais,82
",",",",p
hélas,hélas,60
!,!,p
il,il,51
y,y,52
avait,avoir,18
en,en,81
moi,moi,51
quelque,quelque,75
chose,chose,22
de,de,81
tombé,tombé,31
qui,qui,52
ne,ne,60
pouvait,pouvoir,18
se,se,51
relever,relever,14
",",",",p
quelque,quelque,75
chose,chose,22
de,de,81
survenu,survenu,31
que,que,52
je,je,51
ne,ne,60
pouvais,pouvoir,18
fuir,fuir,14
/.,/.,P
il,il,51
fit,faire,19
encore,encore,60
une,un,71
pause,pause,22
",",",",p
et,et,82
poursuivit,poursuivre,19
:,:,p
-,-,p
oui,oui,60
",",",",p
à,à,81
dater,dater,14
de,de,81
ce,ce,74
jour,jour,21
",",",",p
il,il,51
y,y,52
eut,avoir,19
en,en,81
moi,moi,51
un,un,71
homme,homme,21
que,que,52
je,je,51
ne,ne,60
connaissais,connaître,18
pas,pas,60
/.,/.,P
je,je,51
voulus,vouloir,19
user,user,14
de,de,81
tous,tout,75
mes,mon,73
remèdes,remède,21
",",",",p
le,le,71
cloître,cloître,21
",",",",p
l',le,71
autel,autel,21
",",",",p
le,le,71
travail,travail,21
",",",",p
les,le,71
livres,livre,21
/.,/.,P
folie,folie,22
/!,/!,P
oh,oh,93
!,!,p
que,que,52
la,le,71
science,science,22
sonne,sonner,17
creux,creux,30
quand,quand,83
on,on,51
y,y,52
vient,venir,17
heurter,heurter,14
avec,avec,81
désespoir,désespoir,21
une,un,71
tête,tête,22
pleine,plein,30
de,de,81
passions,passion,22
/!,/!,P
sais,savoir,17
tu,tu,51
",",",",p
jeune,jeune,30
fille,fille,22
",",",",p
ce,ce,52
que,que,52
je,je,51
voyais,voir,18
toujours,toujours,60
désormais,désormais,60
entre,entre,81
le,le,71
livre,livre,21
et,et,82
moi,moi,51
/?,/?,P
toi,toi,51
",",",",p
ton,ton,73
ombre,ombre,22
",",",",p
l',le,71
image,image,22
de,de,81
l',le,71
apparition,apparition,22
lumineuse,lumineux,30
qui,qui,52
avait,avoir,18
un,un,71
jour,jour,21
traversé,traverser,12
l',le,71
espace,espace,21
devant,devant,81
moi,moi,51
/.,/.,P
mais,mais,82
cette,ce,74
image,image,22
n',ne,60
avait,avoir,18
plus,plus,60
la,le,71
même,même,75
couleur,couleur,22
;,;,p
elle,il,51
était,être,18
sombre,sombre,30
",",",",p
funèbre,funèbre,30
",",",",p
ténébreuse,ténébreux,30
comme,comme,83
le,le,71
cercle,cercle,21
noir,noir,30
qui,qui,52
poursuit,poursuivre,17
longtemps,longtemps,60
la,le,71
vue,vue,22
de,de,81
l',le,71
imprudent,imprudent,30
qui,qui,52
a,avoir,17
regardé,regarder,12
fixement,fixement,60
le,le,71
soleil,soleil,21
/.,/.,P
ne,ne,60
pouvant,pouvoir,13
m',je,51
en,en,52
débarrasser,débarrasser,14
",",",",p
entendant,entendre,13
toujours,toujours,60
ta,ton,73
chanson,chanson,22
bourdonner,bourdonner,14
dans,dans,81
ma,mon,73
tête,tête,22
",",",",p
voyant,voir,13
toujours,toujours,60
tes,ton,73
pieds,pied,21
danser,danser,14
sur,sur,81
mon,mon,73
bréviaire,bréviaire,21
",",",",p
sentant,sentir,13
toujours,toujours,60
la,le,71
nuit,nuit,22
en,en,81
songe,songe,21
ta,ton,73
forme,forme,22
glisser,glisser,14
sur,sur,81
ma,mon,73
chair,chair,22
",",",",p
je,je,51
voulus,vouloir,19
te,tu,51
revoir,revoir,14
",",",",p
te,tu,51
toucher,toucher,14
",",",",p
savoir,savoir,14
qui,qui,52
tu,tu,51
étais,être,18
",",",",p
voir,voir,14
si,si,83
je,je,51
te,tu,51
retrouverais,retrouver,16
bien,bien,60
pareille,pareil,30
à,à,81
l',le,71
image,image,22
idéale,idéal,30
qui,qui,52
m',je,51
était,être,18
restée,rester,12
de,de,81
toi,toi,51
",",",",p
briser,briser,14
peut-être,peut-être,60
mon,mon,73
rêve,rêve,21
avec,avec,81
la,le,71
réalité,réalité,22
/.,/.,P
en,en,81
tout,tout,75
cas,cas,21
",",",",p
j',je,51
espérais,espérer,18
qu',que,83
une,un,71
impression,impression,22
nouvelle,nouveau,30
effacerait,effacer,16
la,le,71
première,premier,72
",",",",p
et,et,82
la,le,71
première,premier,72
m',je,51
était,être,18
devenue,devenir,12
insupportable,insupportable,30
/.,/.,P
je,je,51
te,tu,51
cherchai,chercher,19
/.,/.,P
je,je,51
te,tu,51
revis,revoir,19
/.,/.,P
malheur,malheur,21
/!,/!,P
quand,quand,83
je,je,51
t',tu,51
eus,avoir,19
vue,voir,12
deux,deux,72
fois,fois,22
",",",",p
je,je,51
voulus,vouloir,19
te,tu,51
voir,voir,14
mille,mille,72
",",",",p
je,je,51
voulus,vouloir,19
te,tu,51
voir,voir,14
toujours,toujours,60
/.,/.,P
alors,alors,60
",",",",p
-,-,p
comment,comment,60
enrayer,enrayer,14
sur,sur,81
cette,ce,74
pente,pente,22
de,de,81
l',le,71
enfer,enfer,21
?,?,p
alors,alors,60
je,je,51
ne,ne,60
m',je,51
appartins,appartenir,19
plus,plus,60
/.,/.,P
l',le,71
autre,autre,75
bout,bout,21
du,de,81
du,le,71
fil,fil,21
que,que,52
le,le,71
démon,démon,21
m',je,51
avait,avoir,18
attaché,attacher,12
aux,à,81
aux,le,71
ailes,aile,22
",",",",p
il,il,51
l',le,52
avait,avoir,18
noué,nouer,12
à,à,81
ton,ton,73
pied,pied,21
/.,/.,P
je,je,51
devins,devenir,19
vague,vague,30
et,et,82
errant,errant,30
comme,comme,83
toi,toi,51
/.,/.,P
je,je,51
t',tu,51
attendais,attendre,18
sous,sous,81
les,le,71
porches,porche,21
",",",",p
je,je,51
t',tu,51
épiais,épier,18
au,à,81
au,le,71
coin,coin,21
des,de,81
des,le,71
rues,rue,22
",",",",p
je,je,51
te,tu,51
guettais,guetter,18
du,de,81
du,le,71
haut,haut,21
de,de,81
ma,mon,73
tour,tour,22
/.,/.,P
chaque,chaque,75
soir,soir,21
",",",",p
je,je,51
rentrais,rentrer,18
en,en,81
moi-même,moi-même,51
plus,plus,60
charmé,charmé,31
",",",",p
plus,plus,60
désespéré,désespéré,31
",",",",p
plus,plus,60
ensorcelé,ensorcelé,31
",",",",p
plus,plus,60
perdu,perdu,31
/!,/!,P
j',je,51
avais,avoir,18
su,savoir,12
qui,qui,52
tu,tu,51
étais,être,18
",",",",p
égyptienne,égyptienne,22
",",",",p
bohémienne,bohémienne,22
",",",",p
gitane,gitane,22
",",",",p
zingara,zingara,22
",",",",p
comment,comment,60
douter,douter,14
de,de,81
la,le,71
magie,magie,22
/?,/?,P
écoute,écouter,17
/.,/.,P
j',je,51
espérai,espérer,19
qu',que,83
un,un,71
procès,procès,21
me,je,51
débarrasserait,débarrasser,16
du,de,81
du,le,71
charme,charme,21
/.,/.,P
une,un,71
sorcière,sorcière,22
avait,avoir,18
enchanté,enchanter,12
Bruno,Bruno,20
d',de,81
Ast,Ast,20
",",",",p
il,il,51
la,le,52
fit,faire,19
brûler,brûler,14
et,et,82
fut,être,19
guéri,guérir,12
/.,/.,P
je,je,51
le,le,52
savais,savoir,18
/.,/.,P
je,je,51
voulus,vouloir,19
essayer,essayer,14
du,de,81
du,le,71
remède,remède,21
/.,/.,P
j',je,51
essayai,essayer,19
d'abord,d'abord,60
de,de,81
te,tu,51
faire,faire,14
interdire,interdire,14
le,le,71
parvis,parvis,21
Notre-Dame,Notre Dame,20
",",",",p
espérant,espérer,13
t',tu,51
oublier,oublier,14
si,si,83
tu,tu,51
ne,ne,60
revenais,revenir,18
plus,plus,60
/.,/.,P
tu,tu,51
n',ne,60
en,en,52
tins,tenir,19
compte,compte,21
/.,/.,P
tu,tu,51
revins,revenir,19
/.,/.,P
puis,puis,60
il,il,51
me,je,51
vint,venir,19
l',le,71
idée,idée,22
de,de,81
t',tu,51
enlever,enlever,14
/.,/.,P
une,un,71
nuit,nuit,22
je,je,51
le,le,52
tentai,tenter,19
/.,/.,P
nous,nous,51
étions,être,18
deux,deux,72
/.,/.,P
nous,nous,51
te,tu,51
tenions,tenir,18
déjà,déjà,60
",",",",p
quand,quand,83
ce,ce,74
misérable,misérable,30
officier,officier,21
survint,survenir,19
/.,/.,P
il,il,51
te,tu,51
délivra,délivrer,19
/.,/.,P
il,il,51
commençait,commencer,18
ainsi,ainsi,60
ton,ton,73
malheur,malheur,21
",",",",p
le,le,71
mien,mien,52
et,et,82
le,le,71
sien,sien,52
/.,/.,P
enfin,enfin,60
",",",",p
ne,ne,60
sachant,savoir,13
plus,plus,60
que,que,83
faire,faire,14
et,et,82
que,que,52
devenir,devenir,14
",",",",p
je,je,51
te,tu,51
dénonçai,dénoncer,19
à,à,81
l',le,71
/.,/.,P
