11908
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-deuxième extrait>,<>,<>
madame,madame,22
",",",",p
excusez,excuser,17
moi,moi,51
/.,/.,P
-,-,p
je,je,51
ne,ne,60
le,le,52
souffrirai,souffrir,15
pas,pas,60
;,;,p
non,non,60
",",",",p
non,non,60
",",",",p
plutôt,plutôt,60
mourir,mourir,14
!,!,p
s',se,51
écria,écrier,19
la,le,71
reine,reine,22
",",",",p
chez,chez,81
laquelle,lequel,52
se,se,51
révoltait,révolter,18
le,le,71
sang,sang,21
impérieux,impérieux,30
de,de,81
l',le,71
Espagnole,Espagnol,20
et,et,82
de,de,81
l',le,71
Autrichienne,Autrichien,20
/.,/.,P
le,le,71
chancelier,chancelier,21
fit,faire,19
une,un,71
profonde,profond,30
révérence,révérence,22
",",",",p
puis,puis,60
avec,avec,81
l',le,71
intention,intention,22
bien,bien,60
patente,patent,30
de,de,81
ne,ne,60
pas,pas,60
reculer,reculer,14
d',de,81
une,un,71
semelle,semelle,22
dans,dans,81
l',le,71
accomplissement,accomplissement,21
de,de,81
la,le,71
commission,commission,22
dont,dont,52
il,il,51
s',se,51
était,être,18
chargé,charger,12
",",",",p
et,et,82
comme,comme,83
eût,avoir,19
pu,pouvoir,12
le,le,52
faire,faire,14
un,un,71
valet,valet,21
de,de,81
bourreau,bourreau,21
dans,dans,81
la,le,71
chambre,chambre,22
de,de,81
la,le,71
question,question,22
",",",",p
il,il,51
s',se,51
approcha,approcher,19
d',de,81
Anne,Anne,20
d',de,81
Autriche,Autriche,20
des,de,81
des,le,71
yeux,oeil,21
de,de,81
laquelle,lequel,52
on,on,51
vit,voir,19
à,à,81
l',le,71
instant,instant,21
même,même,30
jaillir,jaillir,14
des,de,81
des,le,71
pleurs,pleur,21
de,de,81
rage,rage,22
/.,/.,P
la,le,71
reine,reine,22
était,être,18
",",",",p
comme,comme,83
nous,nous,51
l',le,52
avons,avoir,17
dit,dire,12
",",",",p
d',de,81
une,un,71
grande,grand,30
beauté,beauté,22
/.,/.,P
la,le,71
commission,commission,22
pouvait,pouvoir,18
donc,donc,82
passer,passer,14
pour,pour,81
délicate,délicat,30
",",",",p
et,et,82
le,le,71
roi,roi,21
en,en,52
était,être,18
arrivé,arriver,12
",",",",p
à,à,81
force,force,22
de,de,81
jalousie,jalousie,22
contre,contre,81
Buckingham,Buckingham,20
",",",",p
à,à,81
n',ne,60
être,être,14
plus,plus,60
jaloux,jaloux,30
de,de,81
personne,personne,52
/.,/.,P
sans,sans,81
doute,doute,21
le,le,71
chancelier,chancelier,21
Séguier,Séguier,20
chercha,chercher,19
des,de,81
des,le,71
yeux,oeil,21
à,à,81
ce,ce,74
moment,moment,21
le,le,71
cordon,cordon,21
de,de,81
la,le,71
fameuse,fameux,30
cloche,cloche,22
;,;,p
mais,mais,82
",",",",p
ne,ne,60
le,le,52
trouvant,trouver,13
pas,pas,60
",",",",p
il,il,51
en,en,52
prit,prendre,19
son,son,73
parti,parti,21
et,et,82
tendit,tendre,19
la,le,71
main,main,22
vers,vers,81
l',le,71
endroit,endroit,21
où,où,60
la,le,71
reine,reine,22
avait,avoir,18
avoué,avouer,12
que,que,83
se,se,51
trouvait,trouver,18
le,le,71
papier,papier,21
/.,/.,P
Anne,Anne,20
d',de,81
Autriche,Autriche,20
fit,faire,19
un,un,71
pas,pas,21
en,en,81
arrière,arrière,21
",",",",p
si,si,60
pâle,pâle,30
qu',que,83
on,on,51
eût,avoir,19
dit,dire,12
qu',que,83
elle,il,51
allait,aller,18
mourir,mourir,14
;,;,p
et,et,82
",",",",p
s',se,51
appuyant,appuyer,13
de,de,81
la,le,71
main,main,22
gauche,gauche,30
",",",",p
pour,pour,81
ne,ne,60
pas,pas,60
tomber,tomber,14
",",",",p
à,à,81
une,un,71
table,table,22
qui,qui,52
se,se,51
trouvait,trouver,18
derrière,derrière,81
elle,il,51
",",",",p
elle,il,51
tira,tirer,19
de,de,81
la,le,71
droite,droite,22
un,un,71
papier,papier,21
de,de,81
sa,son,73
poitrine,poitrine,22
et,et,82
le,le,52
tendit,tendre,19
au,à,81
au,le,71
garde,garde,21
des,de,81
des,le,71
sceaux,sceau,21
/.,/.,P
“,“,p
tenez,tenir,17
",",",",p
monsieur,monsieur,21
",",",",p
la,le,52
voilà,voilà,81
",",",",p
cette,ce,74
lettre,lettre,22
",",",",p
s',se,51
écria,écrier,19
la,le,71
reine,reine,22
d',de,81
une,un,71
voix,voix,22
entrecoupée,entrecoupé,31
et,et,82
frémissante,frémissant,30
",",",",p
prenez,prendre,17
la,le,52
",",",",p
et,et,82
me,je,51
délivrez,délivrer,17
de,de,81
votre,votre,73
odieuse,odieux,30
présence,présence,22
/.,/.,P
“,“,p
le,le,71
chancelier,chancelier,21
",",",",p
qui,qui,52
de,de,81
son,son,73
côté,côté,21
tremblait,trembler,18
d',de,81
une,un,71
émotion,émotion,22
facile,facile,30
à,à,81
concevoir,concevoir,14
",",",",p
prit,prendre,19
la,le,71
lettre,lettre,22
",",",",p
salua,saluer,19
jusqu',jusque,81
à,à,81
terre,terre,22
et,et,82
se,se,51
retira,retirer,19
/.,/.,P
à,à,81
peine,peine,22
la,le,71
porte,porte,22
se,se,51
fut,être,19
elle,il,51
refermée,refermer,12
sur,sur,81
lui,lui,51
",",",",p
que,que,83
la,le,71
reine,reine,22
tomba,tomber,19
à,à,81
demi,demi,30
évanouie,évanoui,31
dans,dans,81
les,le,71
bras,bras,21
de,de,81
ses,son,73
femmes,femme,22
/.,/.,P
le,le,71
chancelier,chancelier,21
alla,aller,19
porter,porter,14
la,le,71
lettre,lettre,22
au,à,81
au,le,71
roi,roi,21
sans,sans,81
en,en,52
avoir,avoir,14
lu,lire,12
un,un,71
seul,seul,30
mot,mot,21
/.,/.,P
le,le,71
roi,roi,21
la,le,52
prit,prendre,19
d',de,81
une,un,71
main,main,22
tremblante,tremblant,30
",",",",p
chercha,chercher,19
l',le,71
adresse,adresse,22
",",",",p
qui,qui,52
manquait,manquer,18
",",",",p
devint,devenir,19
très,très,60
pâle,pâle,30
",",",",p
l',le,52
ouvrit,ouvrir,19
lentement,lentement,60
",",",",p
puis,puis,60
",",",",p
voyant,voir,13
par,par,81
les,le,71
premiers,premier,72
mots,mot,21
qu',que,52
elle,il,51
était,être,18
adressée,adresser,12
au,à,81
au,le,71
roi,roi,21
d',de,81
Espagne,Espagne,20
",",",",p
il,il,51
lut,lire,19
très,très,60
rapidement,rapidement,60
/.,/.,P
c',ce,52
était,être,18
tout,tout,75
un,un,71
plan,plan,21
d',de,81
attaque,attaque,22
contre,contre,81
le,le,71
cardinal,cardinal,21
/.,/.,P
la,le,71
reine,reine,22
invitait,inviter,18
son,son,73
frère,frère,21
et,et,82
l',le,71
empereur,empereur,21
d',de,81
Autriche,Autriche,20
à,à,81
faire,faire,14
semblant,semblant,21
",",",",p
blessés,blessé,21
qu',que,52
ils,ils,51
étaient,être,18
par,par,81
la,le,71
politique,politique,22
de,de,81
Richelieu,Richelieu,20
",",",",p
dont,dont,52
l',le,71
éternelle,éternel,30
préoccupation,préoccupation,22
fut,être,19
l',le,71
abaissement,abaissement,21
de,de,81
la,le,71
maison,maison,22
d',de,81
Autriche,Autriche,20
",",",",p
de,de,81
déclarer,déclarer,14
la,le,71
guerre,guerre,22
à,à,81
la,le,71
France,France,20
et,et,82
d',de,81
imposer,imposer,14
comme,comme,83
condition,condition,22
de,de,81
la,le,71
paix,paix,22
le,le,71
renvoi,renvoi,21
du,de,81
du,le,71
cardinal,cardinal,21
:,:,p
mais,mais,82
d',de,81
amour,amour,21
",",",",p
il,il,51
n',ne,60
y,y,52
en,en,52
avait,avoir,18
pas,pas,60
un,un,71
seul,seul,30
mot,mot,21
dans,dans,81
toute,tout,75
cette,ce,74
lettre,lettre,22
/.,/.,P
le,le,71
roi,roi,21
",",",",p
tout,tout,60
joyeux,joyeux,30
",",",",p
s',se,51
informa,informer,19
si,si,83
le,le,71
cardinal,cardinal,21
était,être,18
encore,encore,60
au,à,81
au,le,71
Louvre,Louvre,20
/.,/.,P
on,on,51
lui,lui,51
dit,dire,19
que,que,83
son,son,73
éminence,éminence,22
attendait,attendre,18
",",",",p
dans,dans,81
le,le,71
cabinet,cabinet,21
de,de,81
travail,travail,21
",",",",p
les,le,71
ordres,ordre,21
de,de,81
sa,son,73
majesté,majesté,22
/.,/.,P
le,le,71
roi,roi,21
se,se,51
rendit,rendre,19
aussitôt,aussitôt,60
près,près,81
de,de,81
lui,lui,51
/.,/.,P
“,“,p
tenez,tenir,17
",",",",p
duc,duc,21
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
vous,vous,51
aviez,avoir,18
raison,raison,22
",",",",p
et,et,82
c',ce,52
est,être,17
moi,moi,51
qui,qui,52
avais,avoir,18
tort,tort,21
;,;,p
toute,tout,75
l',le,71
intrigue,intrigue,22
est,être,17
politique,politique,30
",",",",p
et,et,82
il,il,51
n',ne,60
était,être,18
aucunement,aucunement,60
question,question,22
d',de,81
amour,amour,21
dans,dans,81
cette,ce,74
lettre,lettre,22
",",",",p
que,que,52
voici,voici,81
/.,/.,P
en,en,81
échange,échange,21
",",",",p
il,il,51
y,y,52
est,être,17
fort,fort,60
question,question,22
de,de,81
vous,vous,51
/.,/.,P
“,“,p
le,le,71
cardinal,cardinal,21
prit,prendre,19
la,le,71
lettre,lettre,22
et,et,82
la,le,52
lut,lire,19
avec,avec,81
la,le,71
plus,plus,60
grande,grand,30
attention,attention,22
;,;,p
puis,puis,60
",",",",p
lorsqu',lorsque,83
il,il,51
fut,être,19
arrivé,arriver,12
au,à,81
au,le,71
bout,bout,21
",",",",p
il,il,51
la,le,52
relut,relire,19
une,un,71
seconde,second,72
fois,fois,22
/.,/.,P
“,“,p
eh,eh,93
bien,bien,60
",",",",p
votre,votre,73
majesté,majesté,22
",",",",p
dit,dire,19
il,il,51
",",",",p
vous,vous,51
voyez,voir,17
jusqu',jusque,81
où,où,60
vont,aller,17
mes,mon,73
ennemis,ennemi,21
:,:,p
on,on,51
vous,vous,51
menace,menacer,17
de,de,81
deux,deux,72
guerres,guerre,22
",",",",p
si,si,83
vous,vous,51
ne,ne,60
me,je,51
renvoyez,renvoyer,17
pas,pas,60
/.,/.,P
à,à,81
votre,votre,73
place,place,22
",",",",p
en,en,81
vérité,vérité,22
",",",",p
sire,sire,21
",",",",p
je,je,51
céderais,céder,16
à,à,81
de,de,81
si,si,60
puissantes,puissant,30
instances,instance,22
",",",",p
et,et,82
ce,ce,52
serait,être,16
de,de,81
mon,mon,73
côté,côté,21
avec,avec,81
un,un,71
véritable,véritable,30
bonheur,bonheur,21
que,que,83
je,je,51
me,je,51
retirerais,retirer,16
des,de,81
des,le,71
affaires,affaire,22
/.,/.,P
-,-,p
que,que,52
dites,dire,17
vous,vous,51
là,là,60
",",",",p
duc,duc,21
/?,/?,P
je,je,51
dis,dire,17
",",",",p
sire,sire,21
",",",",p
que,que,83
ma,mon,73
santé,santé,22
se,se,51
perd,perdre,17
dans,dans,81
ces,ce,74
luttes,lutte,22
excessives,excessif,30
et,et,82
dans,dans,81
ces,ce,74
travaux,travail,21
éternels,éternel,30
/.,/.,P
je,je,51
dis,dire,17
que,que,83
",",",",p
selon,selon,81
toute,tout,75
probabilité,probabilité,22
",",",",p
je,je,51
ne,ne,60
pourrai,pouvoir,15
pas,pas,60
soutenir,soutenir,14
les,le,71
fatigues,fatigue,22
du,de,81
du,le,71
siège,siège,21
de,de,81
La Rochelle,La Rochelle,20
",",",",p
et,et,82
que,que,83
mieux,mieux,60
vaut,valoir,17
que,que,83
vous,vous,51
nommiez,nommer,17
là,là,60
ou,ou,82
monsieur,monsieur,21
de,de,81
Condé,Condé,20
",",",",p
ou,ou,82
monsieur,monsieur,21
de,de,81
Bassompierre,Bassompierre,20
",",",",p
ou,ou,82
enfin,enfin,60
quelque,quelque,75
vaillant,vaillant,30
homme,homme,21
dont,dont,52
c',ce,52
est,être,17
l',le,71
état,état,21
de,de,81
mener,mener,14
la,le,71
guerre,guerre,22
",",",",p
et,et,82
non,non,60
pas,pas,60
moi,moi,51
qui,qui,52
suis,être,17
homme,homme,21
d',de,81
Eglise,Eglise,20
et,et,82
qu',que,52
on,on,51
détourne,détourner,17
sans,sans,81
cesse,cesse,22
de,de,81
ma,mon,73
vocation,vocation,22
pour,pour,81
m',je,51
appliquer,appliquer,14
à,à,81
des,de,81
des,le,71
choses,chose,22
auxquelles,à,81
auxquelles,lequel,52
je,je,51
n',ne,60
ai,avoir,17
aucune,aucun,75
aptitude,aptitude,22
/.,/.,P
vous,vous,51
en,en,52
serez,être,15
plus,plus,60
heureux,heureux,30
à,à,81
l',le,71
intérieur,intérieur,21
",",",",p
sire,sire,21
",",",",p
et,et,82
je,je,51
ne,ne,60
doute,douter,17
pas,pas,60
que,que,83
vous,vous,51
n',ne,60
en,en,52
soyez,être,17
plus,plus,60
grand,grand,30
à,à,81
l',le,71
étranger,étranger,21
/.,/.,P
-,-,p
monsieur,monsieur,21
le,le,71
duc,duc,21
",",",",p
dit,dire,19
le,le,71
roi,roi,21
",",",",p
je,je,51
comprends,comprendre,17
",",",",p
soyez,être,17
tranquille,tranquille,30
;,;,p
tous,tout,75
ceux,celui,52
qui,qui,52
sont,être,17
nommés,nommer,12
dans,dans,81
cette,ce,74
lettre,lettre,22
seront,être,15
punis,punir,12
comme,comme,83
ils,ils,51
le,le,52
méritent,mériter,17
",",",",p
et,et,82
la,le,71
reine,reine,22
elle-même,lui-même,51
/.,/.,P
-,-,p
que,que,52
dites,dire,17
vous,vous,51
là,là,60
",",",",p
sire,sire,21
/?,/?,P
dieu,dieu,21
me,je,51
garde,garder,17
que,que,83
",",",",p
pour,pour,81
moi,moi,51
",",",",p
la,le,71
reine,reine,22
éprouve,éprouver,17
la,le,71
moindre,moindre,30
contrariété,contrariété,22
!,!,p
elle,il,51
m',je,51
a,avoir,17
toujours,toujours,60
cru,croire,12
son,son,73
ennemi,ennemi,21
",",",",p
sire,sire,21
",",",",p
quoique,quoique,83
votre,votre,73
majesté,majesté,22
puisse,pouvoir,17
attester,attester,14
que,que,83
j',je,51
ai,avoir,17
toujours,toujours,60
pris,prendre,12
chaudement,chaudement,60
son,son,73
parti,parti,21
",",",",p
même,même,60
contre,contre,81
vous,vous,51
/.,/.,P
oh,oh,93
!,!,p
si,si,83
elle,il,51
trahissait,trahir,18
votre,votre,73
majesté,majesté,22
à,à,81
l',le,71
endroit,endroit,21
de,de,81
son,son,73
honneur,honneur,21
",",",",p
ce,ce,52
serait,être,16
autre,autre,75
chose,chose,22
",",",",p
et,et,82
je,je,51
serais,être,16
le,le,71
premier,premier,72
à,à,81
dire,dire,14
:,:,p
“,“,p
pas,pas,60
de,de,81
grâce,grâce,22
",",",",p
sire,sire,21
",",",",p
pas,pas,60
de,de,81
grâce,grâce,22
pour,pour,81
la,le,71
coupable,coupable,22
/!,/!,P
heureusement,heureusement,60
il,il,51
n',ne,60
en,en,52
est,être,17
rien,rien,52
",",",",p
et,et,82
votre,votre,73
majesté,majesté,22
vient,venir,17
d',de,81
en,en,52
acquérir,acquérir,14
une,un,71
nouvelle,nouveau,30
preuve,preuve,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
monsieur,monsieur,21
le,le,71
cardinal,cardinal,21
",",",",p
dit,dire,19
le,le,71
roi,roi,21
",",",",p
et,et,82
vous,vous,51
aviez,avoir,18
raison,raison,22
",",",",p
comme,comme,83
toujours,toujours,60
;,;,p
mais,mais,82
la,le,71
reine,reine,22
n',ne,60
en,en,52
mérite,mériter,17
pas,pas,60
moins,moins,60
toute,tout,75
ma,mon,73
colère,colère,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
vous,vous,51
",",",",p
sire,sire,21
",",",",p
qui,qui,52
avez,avoir,17
encouru,encourir,12
la,le,71
sienne,sien,52
;,;,p
et,et,82
véritablement,véritablement,60
",",",",p
quand,quand,83
elle,il,51
bouderait,bouder,16
sérieusement,sérieusement,60
votre,votre,73
majesté,majesté,22
",",",",p
je,je,51
le,le,52
comprendrais,comprendre,16
;,;,p
votre,votre,73
majesté,majesté,22
l',le,52
a,avoir,17
traitée,traiter,12
avec,avec,81
une,un,71
sévérité,sévérité,22
/!,/!,P
-,-,p
c',ce,52
est,être,17
ainsi,ainsi,60
que,que,83
je,je,51
traiterai,traiter,15
toujours,toujours,60
mes,mon,73
ennemis,ennemi,21
et,et,82
les,le,71
vôtres,vôtre,52
",",",",p
duc,duc,21
",",",",p
si,si,60
haut,haut,60
placés,placé,31
qu',que,83
ils,ils,51
soient,être,17
et,et,82
quelque,quelque,75
péril,péril,21
que,que,52
je,je,51
coure,courir,17
à,à,81
agir,agir,14
sévèrement,sévèrement,60
avec,avec,81
eux,ils,51
/.,/.,P
-,-,p
la,le,71
reine,reine,22
est,être,17
mon,mon,73
ennemie,ennemie,22
",",",",p
mais,mais,82
n',ne,60
est,être,17
pas,pas,60
la,le,71
vôtre,vôtre,52
",",",",p
sire,sire,21
;,;,p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
elle,il,51
est,être,17
épouse,épouse,22
dévouée,dévoué,31
",",",",p
soumise,soumis,31
et,et,82
irréprochable,irréprochable,30
;,;,p
laissez,laisser,17
moi,moi,51
donc,donc,82
",",",",p
sire,sire,21
",",",",p
intercéder,intercéder,14
pour,pour,81
elle,il,51
près,près,81
de,de,81
votre,votre,73
majesté,majesté,22
/.,/.,P
-,-,p
que,que,52
elle,il,51
s',se,51
humilie,humilier,17
alors,alors,60
",",",",p
et,et,82
qu',que,52
elle,il,51
revienne,revenir,17
à,à,81
moi,moi,51
la,le,71
première,premier,72
/!,/!,P
au,à,81
au,le,71
contraire,contraire,21
",",",",p
sire,sire,21
",",",",p
donnez,donner,17
l',le,71
exemple,exemple,21
;,;,p
vous,vous,51
avez,avoir,17
eu,avoir,12
le,le,71
premier,premier,72
tort,tort,21
",",",",p
puisque,puisque,83
c',ce,52
est,être,17
vous,vous,51
qui,qui,52
avez,avoir,17
soupçonné,soupçonner,12
la,le,71
reine,reine,22
/.,/.,P
-,-,p
moi,moi,51
",",",",p
revenir,revenir,14
le,le,71
premier,premier,72
?,?,p
dit,dire,19
le,le,71
roi,roi,21
;,;,p
jamais,jamais,60
/!,/!,P
sire,sire,21
",",",",p
je,je,51
vous,vous,51
en,en,52
supplie,supplier,17
/.,/.,P
-,-,p
d',de,81
ailleurs,ailleurs,60
",",",",p
comment,comment,60
reviendrais,revenir,16
je,je,51
le,le,71
premier,premier,72
/?,/?,P
en,en,81
faisant,faire,13
une,un,71
chose,chose,22
que,que,52
vous,vous,51
sauriez,savoir,16
lui,lui,51
être,être,14
agréable,agréable,30
/.,/.,P
-,-,p
laquelle,lequel,52
/?,/?,P
donnez,donner,17
un,un,71
bal,bal,21
;,;,p
vous,vous,51
savez,savoir,17
combien,combien,60
la,le,71
reine,reine,22
aime,aimer,17
la,le,71
danse,danse,22
;,;,p
je,je,51
vous,vous,51
réponds,répondre,17
que,que,83
sa,son,73
rancune,rancune,22
ne,ne,60
tiendra,tenir,15
point,point,60
à,à,81
une,un,71
pareille,pareil,30
attention,attention,22
/.,/.,P
-,-,p
monsieur,monsieur,21
le,le,71
cardinal,cardinal,21
",",",",p
vous,vous,51
savez,savoir,17
que,que,83
je,je,51
n',ne,60
aime,aimer,17
pas,pas,60
tous,tout,75
les,le,71
plaisirs,plaisir,21
mondains,mondain,30
/.,/.,P
-,-,p
la,le,71
reine,reine,22
ne,ne,60
vous,vous,51
en,en,52
sera,être,15
que,que,83
plus,plus,60
reconnaissante,reconnaissant,30
",",",",p
puisqu',puisque,83
elle,il,51
sait,savoir,17
votre,votre,73
antipathie,antipathie,22
pour,pour,81
ce,ce,74
plaisir,plaisir,21
;,;,p
d',de,81
ailleurs,ailleurs,60
ce,ce,52
sera,être,15
une,un,71
occasion,occasion,22
pour,pour,81
elle,il,51
de,de,81
mettre,mettre,14
ces,ce,74
/.,/.,P
