-
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-cinquième extrait>,<>,<>
promptement,promptement,60
",",",",p
fut,être,19
le,le,71
dernier,dernier,30
mot,mot,21
du,de,81
du,le,71
docteur,docteur,21
/.,/.,P
Eugène,Eugène,20
confia,confier,19
le,le,71
père,père,21
Goriot,Goriot,20
aux,à,81
aux,le,71
soins,soin,21
de,de,81
Bianchon,Bianchon,20
",",",",p
et,et,82
partit,partir,19
pour,pour,81
aller,aller,14
porter,porter,14
à,à,81
madame,madame,22
de,de,81
Nucingen,Nucingen,20
les,le,71
tristes,triste,30
nouvelles,nouvelle,22
qui,qui,52
",",",",p
dans,dans,81
son,son,73
esprit,esprit,21
encore,encore,60
imbu,imbu,30
des,de,81
des,le,71
devoirs,devoir,21
de,de,81
famille,famille,22
",",",",p
devaient,devoir,18
suspendre,suspendre,14
toute,tout,75
joie,joie,22
/.,/.,P
-,-,p
dites,dire,17
lui,lui,51
qu',que,83
elle,il,51
s',se,51
amuse,amuser,17
tout,tout,60
de,de,81
même,même,60
",",",",p
lui,lui,51
cria,crier,19
le,le,71
père,père,21
Goriot,Goriot,20
qui,qui,52
paraissait,paraître,18
assoupi,assoupi,31
",",",",p
mais,mais,82
qui,qui,52
se,se,51
dressa,dresser,19
sur,sur,81
son,son,73
séant,séant,21
au,à,81
au,le,71
moment,moment,21
où,où,60
Rastignac,Rastignac,20
sortit,sortir,19
/.,/.,P
le,le,71
jeune,jeune,30
homme,homme,21
se,se,51
présenta,présenter,19
navré,navré,31
de,de,81
douleur,douleur,22
à,à,81
Delphine,Delphine,20
",",",",p
et,et,82
la,le,52
trouva,trouver,19
coiffée,coiffé,31
",",",",p
chaussée,chaussé,31
",",",",p
n',ne,60
ayant,avoir,13
plus,plus,60
que,que,83
sa,son,73
robe,robe,22
de,de,81
bal,bal,21
à,à,81
mettre,mettre,14
/.,/.,P
mais,mais,82
",",",",p
semblables,semblable,30
aux,à,81
aux,le,71
coups,coup,21
de,de,81
pinceau,pinceau,21
par,par,81
lesquels,lequel,52
les,le,71
peintres,peintre,21
achèvent,achever,17
leurs,leur,73
tableaux,tableau,21
",",",",p
les,le,71
derniers,dernier,30
apprêts,apprêt,21
voulaient,vouloir,18
plus,plus,60
de,de,81
temps,temps,21
que,que,83
n',ne,60
en,en,52
demandait,demander,18
le,le,71
fond,fond,21
même,même,30
de,de,81
la,le,71
toile,toile,22
/.,/.,P
-,-,p
eh,eh,93
quoi,quoi,52
",",",",p
vous,vous,51
n',ne,60
êtes,être,17
pas,pas,60
habillé,habiller,12
?,?,p
dit,dire,19
elle,il,51
/.,/.,P
-,-,p
mais,mais,82
",",",",p
madame,madame,22
",",",",p
votre,votre,73
père,père,21
/…,/…,P
-,-,p
encore,encore,60
mon,mon,73
père,père,21
",",",",p
s',se,51
écria,écrier,19
t,t,94
elle,il,51
en,en,81
l',le,52
interrompant,interrompre,13
/.,/.,P
mais,mais,82
vous,vous,51
ne,ne,60
m',je,51
apprendrez,apprendre,15
pas,pas,60
ce,ce,52
que,que,52
je,je,51
dois,devoir,17
à,à,81
mon,mon,73
père,père,21
/.,/.,P
je,je,51
connais,connaître,17
mon,mon,73
père,père,21
depuis,depuis,81
longtemps,longtemps,60
/.,/.,P
pas,pas,60
un,un,71
mot,mot,21
",",",",p
Eugène,Eugène,20
/.,/.,P
je,je,51
ne,ne,60
vous,vous,51
écouterai,écouter,15
que,que,83
quand,quand,83
vous,vous,51
aurez,avoir,15
fait,faire,12
votre,votre,73
toilette,toilette,22
/.,/.,P
Thérèse,Thérèse,20
a,avoir,17
tout,tout,52
préparé,préparer,12
chez,chez,81
vous,vous,51
;,;,p
ma,mon,73
voiture,voiture,22
est,être,17
prête,prêt,30
",",",",p
prenez,prendre,17
là,là,60
revenez,revenir,17
/.,/.,P
nous,nous,51
causerons,causer,15
de,de,81
mon,mon,73
père,père,21
en,en,81
allant,aller,13
au,à,81
au,le,71
bal,bal,21
/.,/.,P
il,il,51
faut,falloir,17
partir,partir,14
de,de,81
bonne,bon,30
heure,heure,22
;,;,p
si,si,83
nous,nous,51
sommes,être,17
pris,prendre,12
dans,dans,81
la,le,71
file,file,22
des,de,81
des,le,71
voitures,voiture,22
",",",",p
nous,nous,51
serons,être,15
bien,bien,60
heureux,heureux,30
de,de,81
faire,faire,14
notre,notre,73
entrée,entrée,22
à,à,81
onze,onze,72
heures,heure,22
/.,/.,P
-,-,p
madame,madame,22
/!,/!,P
allez,aller,17
!,!,p
pas,pas,60
un,un,71
mot,mot,21
",",",",p
dit,dire,19
elle,il,51
courant,courir,13
dans,dans,81
son,son,73
boudoir,boudoir,21
pour,pour,81
y,y,52
prendre,prendre,14
un,un,71
collier,collier,21
/.,/.,P
-,-,p
mais,mais,82
allez,aller,17
donc,donc,82
",",",",p
monsieur,monsieur,21
Eugène,Eugène,20
",",",",p
vous,vous,51
fâcherez,fâcher,15
madame,madame,22
",",",",p
dit,dire,19
Thérèse,Thérèse,20
en,en,81
poussant,pousser,13
le,le,71
jeune,jeune,30
homme,homme,21
épouvanté,épouvanté,31
de,de,81
cet,ce,74
élégant,élégant,30
parricide,parricide,21
/.,/.,P
il,il,51
alla,aller,19
s',se,51
habiller,habiller,14
en,en,81
faisant,faire,13
les,le,71
plus,plus,60
tristes,triste,30
",",",",p
les,le,71
plus,plus,60
décourageantes,décourageant,30
réflexions,réflexion,22
/.,/.,P
il,il,51
voyait,voir,18
le,le,71
monde,monde,21
comme,comme,83
un,un,71
océan,océan,21
de,de,81
boue,boue,22
dans,dans,81
lequel,lequel,52
un,un,71
homme,homme,21
se,se,51
plongeait,plonger,18
jusqu',jusque,81
au,à,81
au,le,71
cou,cou,21
",",",",p
s',si,83
il,il,51
y,y,52
trempait,tremper,18
le,le,71
pied,pied,21
/.,/.,P
-,-,p
il,il,51
ne,ne,60
s',se,51
y,y,52
commet,commettre,17
que,que,83
des,de,81
des,le,71
crimes,crime,21
mesquins,mesquin,30
!,!,p
se,se,51
dit,dire,17
il,il,51
/.,/.,P
Vautrin,Vautrin,20
est,être,17
plus,plus,60
grand,grand,30
/.,/.,P
il,il,51
avait,avoir,18
vu,voir,12
les,le,71
trois,trois,72
grandes,grand,30
expressions,expression,22
de,de,81
la,le,71
société,société,22
:,:,p
l',le,71
obéissance,obéissance,22
",",",",p
la,le,71
lutte,lutte,22
et,et,82
la,le,71
révolte,révolte,22
;,;,p
la,le,71
famille,famille,22
",",",",p
le,le,71
monde,monde,21
et,et,82
Vautrin,Vautrin,20
/.,/.,P
et,et,82
il,il,51
n',ne,60
osait,oser,18
prendre,prendre,14
parti,parti,21
/.,/.,P
l',le,71
obéissance,obéissance,22
était,être,18
ennuyeuse,ennuyeux,30
",",",",p
la,le,71
révolte,révolte,22
impossible,impossible,30
",",",",p
et,et,82
la,le,71
lutte,lutte,22
incertaine,incertain,30
/.,/.,P
sa,son,73
pensée,pensée,22
le,le,52
reporta,reporter,19
au,à,81
au,le,71
sein,sein,21
de,de,81
sa,son,73
famille,famille,22
/.,/.,P
il,il,51
se,se,51
souvint,souvenir,19
des,de,81
des,le,71
pures,pur,30
émotions,émotion,22
de,de,81
cette,ce,74
vie,vie,22
calme,calme,30
",",",",p
il,il,51
se,se,51
rappela,rappeler,19
les,le,71
jours,jour,21
passés,passé,31
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
êtres,être,21
dont,dont,52
il,il,51
était,être,18
chéri,chérir,12
/.,/.,P
en,en,81
se,se,51
conformant,conformer,13
aux,à,81
aux,le,71
lois,loi,22
naturelles,naturel,30
du,de,81
du,le,71
foyer,foyer,21
domestique,domestique,30
",",",",p
ces,ce,74
chères,cher,30
créatures,créature,22
y,y,52
trouvaient,trouver,18
un,un,71
bonheur,bonheur,21
plein,plein,30
",",",",p
continu,continu,30
",",",",p
sans,sans,81
angoisses,angoisse,22
/.,/.,P
malgré,malgré,81
ces,ce,74
bonnes,bon,30
pensées,pensée,22
",",",",p
il,il,51
ne,ne,60
se,se,51
sentit,sentir,19
pas,pas,60
le,le,71
courage,courage,21
de,de,81
venir,venir,14
confesser,confesser,14
la,le,71
foi,foi,22
des,de,81
des,le,71
âmes,âme,22
pures,pur,30
à,à,81
Delphine,Delphine,20
",",",",p
en,en,81
lui,lui,51
ordonnant,ordonner,13
la,le,71
vertu,vertu,22
au,à,81
au,le,71
nom,nom,21
de,de,81
l',le,71
amour,amour,21
/.,/.,P
déjà,déjà,60
son,son,73
éducation,éducation,22
commencée,commencé,31
avait,avoir,18
porté,porter,12
ses,son,73
fruits,fruit,21
/.,/.,P
il,il,51
aimait,aimer,18
égoïstement,égoïstement,60
déjà,déjà,60
/.,/.,P
son,son,73
tact,tact,21
lui,lui,51
avait,avoir,18
permis,permettre,12
de,de,81
reconnaître,reconnaître,14
la,le,71
nature,nature,22
du,de,81
du,le,71
coeur,coeur,21
de,de,81
Delphine,Delphine,20
/.,/.,P
il,il,51
pressentait,pressentir,18
qu',que,83
elle,il,51
était,être,18
capable,capable,30
de,de,81
marcher,marcher,14
sur,sur,81
le,le,71
corps,corps,21
de,de,81
son,son,73
père,père,21
pour,pour,81
aller,aller,14
au,à,81
au,le,71
bal,bal,21
",",",",p
et,et,82
il,il,51
n',ne,60
avait,avoir,18
ni,ni,82
la,le,71
force,force,22
de,de,81
jouer,jouer,14
le,le,71
rôle,rôle,21
d',de,81
un,un,71
raisonneur,raisonneur,21
",",",",p
ni,ni,82
le,le,71
courage,courage,21
de,de,81
lui,lui,51
déplaire,déplaire,14
",",",",p
ni,ni,82
la,le,71
vertu,vertu,22
de,de,81
la,le,52
quitter,quitter,14
/.,/.,P
“,“,p
elle,il,51
ne,ne,60
me,je,51
pardonnerait,pardonner,16
jamais,jamais,60
d',de,81
avoir,avoir,14
eu,avoir,12
raison,raison,22
contre,contre,81
elle,il,51
dans,dans,81
cette,ce,74
circonstance,circonstance,22
“,“,p
",",",",p
se,se,51
dit,dire,17
il,il,51
/.,/.,P
puis,puis,60
il,il,51
commenta,commenter,19
les,le,71
paroles,parole,22
des,de,81
des,le,71
médecins,médecin,21
",",",",p
il,il,51
se,se,51
plut,plaire,19
à,à,81
penser,penser,14
que,que,83
le,le,71
père,père,21
Goriot,Goriot,20
n',ne,60
était,être,18
pas,pas,60
aussi,aussi,60
dangereusement,dangereusement,60
malade,malade,30
qu',que,83
il,il,51
le,le,52
croyait,croire,18
;,;,p
enfin,enfin,60
",",",",p
il,il,51
entassa,entasser,19
des,de,81
des,le,71
raisonnements,raisonnement,21
assassins,assassin,30
pour,pour,81
justifier,justifier,14
Delphine,Delphine,20
/.,/.,P
elle,il,51
ne,ne,60
connaissait,connaître,18
pas,pas,60
l',le,71
état,état,21
dans,dans,81
lequel,lequel,52
était,être,18
son,son,73
père,père,21
/.,/.,P
le,le,71
bonhomme,bonhomme,21
lui-même,lui-même,51
la,le,52
renverrait,renvoyer,16
au,à,81
au,le,71
bal,bal,21
",",",",p
si,si,83
elle,il,51
l',le,52
allait,aller,18
voir,voir,14
/.,/.,P
souvent,souvent,60
la,le,71
loi,loi,22
sociale,social,30
implacable,implacable,30
dans,dans,81
sa,son,73
formule,formule,22
",",",",p
condamne,condamner,17
là,là,60
où,où,60
le,le,71
crime,crime,21
apparent,apparent,30
est,être,17
excusé,excuser,12
par,par,81
les,le,71
innombrables,innombrable,30
modifications,modification,22
qu',que,52
introduisent,introduire,17
au,à,81
au,le,71
sein,sein,21
des,de,81
des,le,71
familles,famille,22
la,le,71
différence,différence,22
des,de,81
des,le,71
caractères,caractère,21
",",",",p
la,le,71
diversité,diversité,22
des,de,81
des,le,71
intérêts,intérêt,21
et,et,82
des,de,81
des,le,71
situations,situation,22
/.,/.,P
Eugène,Eugène,20
voulait,vouloir,18
se,se,51
tromper,tromper,14
lui-même,lui-même,51
",",",",p
il,il,51
était,être,18
prêt,prêt,30
à,à,81
faire,faire,14
à,à,81
sa,son,73
maîtresse,maîtresse,22
le,le,71
sacrifice,sacrifice,21
de,de,81
sa,son,73
conscience,conscience,22
/.,/.,P
depuis,depuis,81
deux,deux,72
jours,jour,21
",",",",p
tout,tout,52
était,être,18
changé,changer,12
dans,dans,81
sa,son,73
vie,vie,22
/.,/.,P
la,le,71
femme,femme,22
y,y,52
avait,avoir,18
jeté,jeter,12
ses,son,73
désordres,désordre,21
",",",",p
elle,il,51
avait,avoir,18
fait,faire,12
pâlir,pâlir,14
la,le,71
famille,famille,22
",",",",p
elle,il,51
avait,avoir,18
tout,tout,52
confisqué,confisquer,12
à,à,81
son,son,73
profit,profit,21
/.,/.,P
Rastignac,Rastignac,20
et,et,82
Delphine,Delphine,20
s',se,51
étaient,être,18
rencontrés,rencontrer,12
dans,dans,81
les,le,71
conditions,condition,22
voulues,voulu,31
pour,pour,81
éprouver,éprouver,14
l',le,71
un,un,52
par,par,81
l',le,71
autre,autre,52
les,le,71
plus,plus,60
vives,vif,30
jouissances,jouissance,22
/.,/.,P
leur,leur,73
passion,passion,22
bien,bien,60
préparée,préparé,31
avait,avoir,18
grandi,grandir,12
par,par,81
ce,ce,52
qui,qui,52
tue,tuer,17
les,le,71
passions,passion,22
",",",",p
par,par,81
la,le,71
jouissance,jouissance,22
/.,/.,P
en,en,81
possédant,posséder,13
cette,ce,74
femme,femme,22
",",",",p
Eugène,Eugène,20
s',se,51
aperçut,apercevoir,19
que,que,83
jusqu',jusque,81
alors,alors,60
il,il,51
ne,ne,60
l',le,52
avait,avoir,18
que,que,83
désirée,désirer,12
",",",",p
il,il,51
ne,ne,60
l',le,52
aima,aimer,19
qu',que,83
au,à,81
au,le,71
lendemain,lendemain,21
du,de,81
du,le,71
bonheur,bonheur,21
:,:,p
l',le,71
amour,amour,21
n',ne,60
est,être,17
peut-être,peut-être,60
que,que,83
la,le,71
reconnaissance,reconnaissance,22
du,de,81
du,le,71
plaisir,plaisir,21
/.,/.,P
infâme,infâme,30
ou,ou,82
sublime,sublime,30
",",",",p
il,il,51
adorait,adorer,18
cette,ce,74
femme,femme,22
pour,pour,81
les,le,71
voluptés,volupté,22
qu',que,52
il,il,51
lui,lui,51
avait,avoir,18
apportées,apporter,12
en,en,81
dot,dot,22
",",",",p
et,et,82
pour,pour,81
toutes,tout,75
celles,celui,52
qu',que,52
il,il,51
en,en,52
avait,avoir,18
reçues,recevoir,12
;,;,p
de,de,81
même,même,60
que,que,83
Delphine,Delphine,20
aimait,aimer,18
Rastignac,Rastignac,20
autant,autant,60
que,que,83
Tantale,Tantale,20
aurait,avoir,16
aimé,aimer,12
l',le,71
ange,ange,21
qui,qui,52
serait,être,16
venu,venir,12
satisfaire,satisfaire,14
sa,son,73
faim,faim,22
",",",",p
ou,ou,82
étancher,étancher,14
la,le,71
soif,soif,22
de,de,81
son,son,73
gosier,gosier,21
desséché,desséché,31
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
comment,comment,60
va,aller,17
mon,mon,73
père,père,21
?,?,p
lui,lui,51
dit,dire,19
madame,madame,22
de,de,81
Nucingen,Nucingen,20
quand,quand,83
il,il,51
fut,être,19
de,de,81
retour,retour,21
et,et,82
en,en,81
costume,costume,21
de,de,81
bal,bal,21
/.,/.,P
-,-,p
extrêmement,extrêmement,60
mal,mal,60
",",",",p
répondit,répondre,19
il,il,51
",",",",p
si,si,83
vous,vous,51
voulez,vouloir,17
me,je,51
donner,donner,14
une,un,71
preuve,preuve,22
de,de,81
votre,votre,73
affection,affection,22
",",",",p
nous,nous,51
courrons,courir,15
le,le,52
voir,voir,14
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
oui,oui,60
",",",",p
dit,dire,19
elle,il,51
",",",",p
mais,mais,82
après,après,81
le,le,71
bal,bal,21
/.,/.,P
mon,mon,73
bon,bon,30
Eugène,Eugène,20
",",",",p
sois,être,17
gentil,gentil,30
",",",",p
ne,ne,60
me,je,51
fais,faire,17
pas,pas,60
de,de,81
morale,morale,22
",",",",p
viens,venir,17
/.,/.,P
ils,ils,51
partirent,partir,19
/.,/.,P
Eugène,Eugène,20
resta,rester,19
silencieux,silencieux,30
pendant,pendant,81
une,un,71
partie,partie,22
du,de,81
du,le,71
chemin,chemin,21
/.,/.,P
-,-,p
qu',que,52
avez,avoir,17
vous,vous,51
donc,donc,82
?,?,p
dit,dire,19
elle,il,51
/.,/.,P
-,-,p
j',je,51
entends,entendre,17
le,le,71
râle,râle,21
de,de,81
votre,votre,73
père,père,21
",",",",p
répondit,répondre,19
il,il,51
avec,avec,81
l',le,71
accent,accent,21
de,de,81
la,le,71
fâcherie,fâcherie,22
/.,/.,P
et,et,82
il,il,51
se,se,51
mit,mettre,19
à,à,81
raconter,raconter,14
avec,avec,81
la,le,71
chaleureuse,chaleureux,30
éloquence,éloquence,22
du,de,81
du,le,71
jeune,jeune,30
âge,âge,21
la,le,71
féroce,féroce,30
action,action,22
à,à,81
laquelle,lequel,75
madame,madame,22
de,de,81
Restaud,Restaud,20
avait,avoir,18
été,être,12
poussée,pousser,12
par,par,81
la,le,71
vanité,vanité,22
",",",",p
la,le,71
crise,crise,22
mortelle,mortel,30
que,que,52
le,le,71
dernier,dernier,30
dévouement,dévouement,21
du,de,81
du,le,71
père,père,21
avait,avoir,18
déterminée,déterminer,12
",",",",p
et,et,82
ce,ce,52
que,que,52
coûterait,coûter,16
la,le,71
robe,robe,22
lamée,lamé,31
d',de,81
Anastasie,Anastasie,20
/.,/.,P
Delphine,Delphine,20
pleurait,pleurer,18
/.,/.,P
-,-,p
je,je,51
vais,aller,17
être,être,14
laide,laid,30
",",",",p
pensa,penser,19
t,t,94
elle,il,51
/.,/.,P
ses,son,73
larmes,larme,22
se,se,51
séchèrent,sécher,19
/.,/.,P
j',je,51
irai,aller,15
garder,garder,14
mon,mon,73
père,père,21
",",",",p
je,je,51
ne,ne,60
quitterai,quitter,15
pas,pas,60
son,son,73
chevet,chevet,21
",",",",p
reprit,reprendre,19
elle,il,51
/.,/.,P
-,-,p
ah,ah,93
!,!,p
te,tu,51
voilà,voilà,81
comme,comme,83
je,je,51
te,tu,51
voulais,vouloir,18
",",",",p
s',se,51
écria,écrier,19
Rastignac,Rastignac,20
/.,/.,P
les,le,71
lanternes,lanterne,22
de,de,81
cinq,cinq,72
cents,cent,72
voitures,voiture,22
éclairaient,éclairer,18
les,le,71
abords,abord,21
de,de,81
l',le,71
hôtel,hôtel,21
de,de,81
Beauséant,Beauséant,20
/.,/.,P
de,de,81
chaque,chaque,75
côté,côté,21
de,de,81
la,le,71
porte,porte,22
illuminée,illuminé,31
piaffait,piaffer,18
un,un,71
gendarme,gendarme,21
/.,/.,P
