11514
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dix-huitième extrait>,<>,<>
;,;,p
c',ce,52
est,être,17
un,un,71
gaillard,gaillard,21
endiablé,endiablé,30
pour,pour,81
courir,courir,14
après,après,81
les,le,71
filles,fille,22
/.,/.,P
mais,mais,82
je,je,51
ne,ne,60
crois,croire,17
pas,pas,60
qu',que,83
il,il,51
ait,avoir,17
attrapé,attraper,12
celle-là,celui-là,52
;,;,p
quoique,quoique,83
après,après,81
tout,tout,52
",",",",p
s',si,83
il,il,51
l',le,52
eût,avoir,19
vue,voir,12
/…,/…,P
c',ce,52
est,être,17
assez,assez,60
",",",",p
merci,merci,21
/!,/!,P
et,et,82
il,il,51
vola,voler,19
plutôt,plutôt,60
qu',que,83
il,il,51
ne,ne,60
courut,courir,19
à,à,81
l',le,71
écurie,écurie,22
de,de,81
Léonard,Léonard,20
/.,/.,P
il,il,51
jeta,jeter,19
la,le,71
bâtine,bâtine,22
sur,sur,81
la,le,71
grise,gris,30
",",",",p
sauta,sauter,19
dessus,dessus,60
",",",",p
et,et,82
partit,partir,19
au,à,81
au,le,71
grand,grand,30
galop,galop,21
dans,dans,81
la,le,71
direction,direction,22
des,de,81
des,le,71
bois,bois,21
de,de,81
Chanteloube,Chanteloube,20
/.,/.,P
le,le,71
coeur,coeur,21
lui,lui,51
bondissait,bondir,18
d',de,81
inquiétude,inquiétude,22
et,et,82
de,de,81
colère,colère,22
",",",",p
la,le,71
sueur,sueur,22
lui,lui,51
coulait,couler,18
du,de,81
du,le,71
front,front,21
/.,/.,P
il,il,51
mettait,mettre,18
en,en,81
sang,sang,21
les,le,71
flancs,flanc,21
de,de,81
la,le,71
grise,gris,30
qui,qui,52
",",",",p
en,en,81
se,se,51
voyant,voir,13
sur,sur,81
le,le,71
chemin,chemin,21
de,de,81
son,son,73
écurie,écurie,22
",",",",p
ne,ne,60
se,se,51
faisait,faire,18
pourtant,pourtant,60
pas,pas,60
prier,prier,14
pour,pour,81
courir,courir,14
/.,/.,P
<XIV>,<>,<>
la,le,71
vieille,vieille,22
/.,/.,P
Germain,Germain,20
se,se,51
retrouva,retrouver,19
bientôt,bientôt,60
à,à,81
l',le,71
endroit,endroit,21
où,où,60
il,il,51
avait,avoir,18
passé,passer,12
la,le,71
nuit,nuit,22
au,à,81
au,le,71
bord,bord,21
de,de,81
la,le,71
mare,mare,22
/.,/.,P
le,le,71
feu,feu,21
fumait,fumer,18
encore,encore,60
;,;,p
une,un,71
vieille,vieux,30
femme,femme,22
ramassait,ramasser,18
le,le,71
reste,reste,21
de,de,81
la,le,71
provision,provision,22
de,de,81
bois,bois,21
mort,mort,31
que,que,52
la,le,71
petite,petit,30
Marie,Marie,20
y,y,52
avait,avoir,18
entassée,entasser,12
/.,/.,P
Germain,Germain,20
s',se,51
arrêta,arrêter,19
pour,pour,81
la,le,52
questionner,questionner,14
/.,/.,P
elle,il,51
était,être,18
sourde,sourd,30
et,et,82
",",",",p
se,se,51
méprenant,méprendre,13
sur,sur,81
ses,son,73
interrogations,interrogation,22
:,:,p
-,-,p
oui,oui,60
",",",",p
mon,mon,73
garçon,garçon,21
",",",",p
dit,dire,19
elle,il,51
",",",",p
c',ce,52
est,être,17
ici,ici,60
la,le,71
mare,mare,22
au,à,81
au,le,71
diable,diable,21
/.,/.,P
c',ce,52
est,être,17
un,un,71
mauvais,mauvais,30
endroit,endroit,21
et,et,82
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
en,en,52
approcher,approcher,14
sans,sans,81
jeter,jeter,14
trois,trois,72
pierres,pierre,22
dedans,dedans,60
de,de,81
la,le,71
main,main,22
gauche,gauche,30
",",",",p
en,en,81
faisant,faire,13
le,le,71
signe,signe,21
de,de,81
la,le,71
croix,croix,22
de,de,81
la,le,71
main,main,22
droite,droit,30
:,:,p
ça,ça,52
éloigne,éloigner,17
les,le,71
esprits,esprit,21
/.,/.,P
autrement,autrement,60
il,il,51
arrive,arriver,17
des,de,81
des,le,71
malheurs,malheur,21
à,à,81
ceux,celui,52
qui,qui,52
en,en,52
font,faire,17
le,le,71
tour,tour,21
/.,/.,P
-,-,p
je,je,51
ne,ne,60
vous,vous,51
parle,parler,17
pas,pas,60
de,de,81
ça,ça,52
",",",",p
dit,dire,19
Germain,Germain,20
en,en,81
s',se,51
approchant,approcher,13
d',de,81
elle,il,51
et,et,82
en,en,81
criant,crier,13
à tue-tête,à tue-tête,60
:,:,p
n',ne,60
avez,avoir,17
vous,vous,51
pas,pas,60
vu,voir,12
passer,passer,14
dans,dans,81
le,le,71
bois,bois,21
une,un,71
fille,fille,22
et,et,82
un,un,71
enfant,enfant,21
/?,/?,P
oui,oui,60
",",",",p
dit,dire,19
la,le,71
vieille,vieille,22
",",",",p
il,il,51
s',se,51
y,y,52
est,être,17
noyé,noyer,12
un,un,71
petit,petit,30
enfant,enfant,21
/!,/!,P
Germain,Germain,20
frémit,frémir,19
de,de,81
la,le,71
tête,tête,22
aux,à,81
aux,le,71
pieds,pied,21
;,;,p
mais,mais,82
heureusement,heureusement,60
",",",",p
la,le,71
vieille,vieille,22
ajouta,ajouter,19
:,:,p
-,-,p
il,il,51
y,y,52
a,avoir,17
bien,bien,60
longtemps,longtemps,60
de,de,81
ça,ça,52
;,;,p
en,en,81
mémoire,mémoire,22
de,de,81
l',le,71
accident,accident,21
on,on,51
y,y,52
avait,avoir,18
planté,planter,12
une,un,71
belle,beau,30
croix,croix,22
;,;,p
mais,mais,82
",",",",p
par,par,81
une,un,71
belle,beau,30
nuit,nuit,22
de,de,81
grand,grand,30
orage,orage,21
",",",",p
les,le,71
mauvais,mauvais,30
esprits,esprit,21
l',le,52
ont,avoir,17
jetée,jeter,12
dans,dans,81
l',le,71
eau,eau,22
/.,/.,P
on,on,51
peut,pouvoir,17
en,en,52
voir,voir,14
encore,encore,60
un,un,71
bout,bout,21
/.,/.,P
si,si,83
quelqu'un,quelqu'un,52
avait,avoir,18
le,le,71
malheur,malheur,21
de,de,81
s',se,51
arrêter,arrêter,14
ici,ici,60
la,le,71
nuit,nuit,22
",",",",p
il,il,51
serait,être,16
bien,bien,60
sûr,sûr,30
de,de,81
ne,ne,60
pouvoir,pouvoir,14
jamais,jamais,60
en,en,52
sortir,sortir,14
avant,avant,81
le,le,71
jour,jour,21
/.,/.,P
il,il,51
aurait,avoir,16
beau,beau,60
marcher,marcher,14
",",",",p
marcher,marcher,14
",",",",p
il,il,51
pourrait,pouvoir,16
faire,faire,14
deux,deux,72
cents,cent,72
lieues,lieue,22
dans,dans,81
le,le,71
bois,bois,21
et,et,82
se,se,51
retrouver,retrouver,14
toujours,toujours,60
à,à,81
la,le,71
même,même,75
place,place,22
/.,/.,P
-,-,p
l',le,71
imagination,imagination,22
du,de,81
du,le,71
laboureur,laboureur,21
se,se,51
frappa,frapper,19
malgré,malgré,81
lui,lui,51
de,de,81
ce,ce,52
qu',que,52
il,il,51
entendait,entendre,18
",",",",p
et,et,82
l',le,71
idée,idée,22
du,de,81
du,le,71
malheur,malheur,21
qui,qui,52
pouvait,pouvoir,18
arriver,arriver,14
",",",",p
pour,pour,81
achever,achever,14
de,de,81
justifier,justifier,14
les,le,71
assertions,assertion,22
de,de,81
la,le,71
vieille,vieux,30
femme,femme,22
",",",",p
s',se,51
empara,emparer,19
si,si,60
bien,bien,60
de,de,81
sa,son,73
tête,tête,22
",",",",p
qu',que,83
il,il,51
se,se,51
sentit,sentir,19
froid,froid,30
par,par,81
tout,tout,75
le,le,71
corps,corps,21
/.,/.,P
désespérant,désespérer,13
d',de,81
obtenir,obtenir,14
d',de,81
autres,autre,75
renseignements,renseignement,21
",",",",p
il,il,51
remonta,remonter,19
à,à,81
cheval,cheval,21
et,et,82
recommença,recommencer,19
à,à,81
parcourir,parcourir,14
le,le,71
bois,bois,21
en,en,81
appelant,appeler,13
Pierre,Pierre,20
de,de,81
toutes,tout,75
ses,son,73
forces,force,22
",",",",p
et,et,82
en,en,81
sifflant,siffler,13
",",",",p
faisant,faire,13
claquer,claquer,14
son,son,73
fouet,fouet,21
",",",",p
cassant,casser,13
les,le,71
branches,branche,22
pour,pour,81
remplir,remplir,14
la,le,71
forêt,forêt,22
du,de,81
du,le,71
bruit,bruit,21
de,de,81
sa,son,73
marche,marche,22
",",",",p
écoutant,écouter,13
ensuite,ensuite,60
si,si,83
quelque,quelque,75
voix,voix,22
lui,lui,51
répondait,répondre,18
;,;,p
mais,mais,82
il,il,51
n',ne,60
entendait,entendre,18
que,que,83
la,le,71
cloche,cloche,22
des,de,81
des,le,71
vaches,vache,22
éparses,épars,30
dans,dans,81
les,le,71
taillis,taillis,21
et,et,82
le,le,71
cri,cri,21
sauvage,sauvage,30
des,de,81
des,le,71
porcs,porc,21
qui,qui,52
se,se,51
disputaient,disputer,18
la,le,71
glandée,glandée,22
/.,/.,P
enfin,enfin,60
Germain,Germain,20
entendit,entendre,19
derrière,derrière,81
lui,lui,51
le,le,71
bruit,bruit,21
d',de,81
un,un,71
cheval,cheval,21
qui,qui,52
courait,courir,18
sur,sur,81
ses,son,73
traces,trace,22
",",",",p
et,et,82
un,un,71
homme,homme,21
entre,entre,81
deux,deux,72
âges,âge,21
",",",",p
brun,brun,30
",",",",p
robuste,robuste,30
",",",",p
habillé,habillé,31
comme,comme,83
un,un,71
demi-bourgeois,demi-bourgeois,21
",",",",p
lui,lui,51
cria,crier,19
de,de,81
s',se,51
arrêter,arrêter,14
/.,/.,P
Germain,Germain,20
n',ne,60
avait,avoir,18
jamais,jamais,60
vu,voir,12
le,le,71
fermier,fermier,21
des,de,81
des,le,71
Ormeaux,Ormeaux,20
;,;,p
mais,mais,82
un,un,71
instinct,instinct,21
de,de,81
rage,rage,22
lui,lui,51
fit,faire,19
juger,juger,14
de,de,81
suite,suite,22
que,que,83
c',ce,52
était,être,18
lui,lui,51
/.,/.,P
il,il,51
se,se,51
retourna,retourner,19
et,et,82
",",",",p
le,le,52
toisant,toiser,13
de,de,81
la,le,71
tête,tête,22
aux,à,81
aux,le,71
pieds,pied,21
",",",",p
il,il,51
attendit,attendre,19
ce,ce,52
qu',que,52
il,il,51
avait,avoir,18
à,à,81
lui,lui,51
dire,dire,14
/.,/.,P
-,-,p
n',ne,60
avez,avoir,17
vous,vous,51
pas,pas,60
vu,voir,12
passer,passer,14
par,par,81
ici,ici,60
une,un,71
jeune,jeune,30
fille,fille,22
de,de,81
quinze,quinze,72
ou,ou,82
seize,seize,72
ans,an,21
",",",",p
avec,avec,81
un,un,71
petit,petit,30
garçon,garçon,21
?,?,p
dit,dire,19
le,le,71
fermier,fermier,21
en,en,81
affectant,affecter,13
un,un,71
air,air,21
d',de,81
indifférence,indifférence,22
",",",",p
quoiqu',quoique,83
il,il,51
fût,être,19
visiblement,visiblement,60
ému,émouvoir,12
/.,/.,P
-,-,p
et,et,82
que,que,52
lui,lui,51
voulez,vouloir,17
vous,vous,51
?,?,p
répondit,répondre,19
Germain,Germain,20
sans,sans,81
chercher,chercher,14
à,à,81
déguiser,déguiser,14
sa,son,73
colère,colère,22
/.,/.,P
-,-,p
je,je,51
pourrais,pouvoir,16
vous,vous,51
dire,dire,14
que,que,83
ça,ça,52
ne,ne,60
vous,vous,51
regarde,regarder,17
pas,pas,60
",",",",p
mon,mon,73
camarade,camarade,21
;,;,p
mais,mais,82
comme,comme,83
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
de,de,81
raisons,raison,22
/.,/.,P
