11637
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-huitième extrait>,<>,<>
coeur,coeur,21
",",",",p
Marie,Marie,20
",",",",p
et,et,82
ça,ça,52
me,je,51
fait,faire,17
du,de,81
du,le,71
bien,bien,21
de,de,81
pleurer,pleurer,14
avec,avec,81
toi,toi,51
/.,/.,P
mais,mais,82
approche,approcher,17
donc,donc,82
tes,ton,73
pieds,pied,21
du,de,81
du,le,71
feu,feu,21
;,;,p
tu,tu,51
as,avoir,17
tes,ton,73
jupes,jupe,22
toutes,tout,60
mouillées,mouillé,31
aussi,aussi,60
",",",",p
pauvre,pauvre,30
petite,petit,30
fille,fille,22
/!,/!,P
tiens,tenir,17
",",",",p
je,je,51
vais,aller,17
prendre,prendre,14
ta,ton,73
place,place,22
auprès,auprès,60
du,de,81
du,le,71
petit,petit,21
",",",",p
chauffe,chauffer,17
toi,toi,51
mieux,mieux,60
que,que,83
ça,ça,52
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
assez,assez,60
chaud,chaud,21
",",",",p
dit,dire,19
Marie,Marie,20
;,;,p
et,et,82
si,si,83
vous,vous,51
voulez,vouloir,17
vous,vous,51
asseoir,asseoir,14
",",",",p
prenez,prendre,17
un,un,71
coin,coin,21
du,de,81
du,le,71
manteau,manteau,21
",",",",p
moi,moi,51
je,je,51
suis,être,17
très,très,60
bien,bien,60
/.,/.,P
-,-,p
le,le,71
fait,fait,21
est,être,17
qu',que,83
on,on,51
n',ne,60
est,être,17
pas,pas,60
mal,mal,60
ici,ici,60
",",",",p
dit,dire,19
Germain,Germain,20
en,en,81
s',se,51
asseyant,asseoir,13
tout,tout,52
auprès,auprès,60
d',de,81
elle,il,51
/.,/.,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
que,que,83
la,le,71
faim,faim,22
qui,qui,52
me,je,51
tourmente,tourmenter,17
un,un,71
peu,peu,60
/.,/.,P
il,il,51
est,être,17
bien,bien,60
neuf,neuf,72
heures,heure,22
du,de,81
du,le,71
soir,soir,21
",",",",p
et,et,82
j',je,51
ai,avoir,17
eu,avoir,12
tant,tant,60
de,de,81
peine,peine,22
à,à,81
marcher,marcher,14
dans,dans,81
ces,ce,74
mauvais,mauvais,30
chemins,chemin,21
",",",",p
que,que,83
je,je,51
me,je,51
sens,sentir,17
tout,tout,52
affaibli,affaibli,31
/.,/.,P
est,être,17
ce,ce,52
que,que,83
tu,tu,51
n',ne,60
as,avoir,17
pas,pas,60
faim,faim,22
",",",",p
aussi,aussi,60
",",",",p
toi,toi,51
",",",",p
Marie,Marie,20
/?,/?,P
-,-,p
moi,moi,51
?,?,p
pas,pas,60
du,de,81
du,le,71
tout,tout,21
/.,/.,P
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
habituée,habituer,12
",",",",p
comme,comme,83
vous,vous,51
",",",",p
à,à,81
faire,faire,14
quatre,quatre,72
repas,repas,21
",",",",p
et,et,82
j',je,51
ai,avoir,17
été,être,12
tant,tant,60
de,de,81
fois,fois,22
me,je,51
coucher,coucher,14
sans,sans,81
souper,souper,14
",",",",p
qu',que,83
une,un,71
fois,fois,22
de,de,81
plus,plus,60
ne,ne,60
m',je,51
étonne,étonner,17
guère,guère,60
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
c',ce,52
est,être,17
commode,commode,30
une,un,71
femme,femme,22
comme,comme,83
toi,toi,51
;,;,p
ça,ça,52
ne,ne,60
fait,faire,17
pas,pas,60
de,de,81
dépense,dépense,22
",",",",p
dit,dire,19
Germain,Germain,20
en,en,81
souriant,sourire,13
/.,/.,P
-,-,p
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
une,un,71
femme,femme,22
",",",",p
dit,dire,19
naïvement,naïvement,60
Marie,Marie,20
",",",",p
sans,sans,81
s',se,51
apercevoir,apercevoir,14
de,de,81
la,le,71
tournure,tournure,22
que,que,52
prenaient,prendre,18
les,le,71
idées,idée,22
du,de,81
du,le,71
laboureur,laboureur,21
/.,/.,P
est,être,17
ce,ce,52
que,que,83
vous,vous,51
rêvez,rêver,17
/?,/?,P
-,-,p
oui,oui,60
",",",",p
je,je,51
crois,croire,17
que,que,83
je,je,51
rêve,rêver,17
",",",",p
répondit,répondre,19
Germain,Germain,20
;,;,p
c',ce,52
est,être,17
la,le,71
faim,faim,22
qui,qui,52
me,je,51
fait,faire,17
divaguer,divaguer,14
peut-être,peut-être,60
/!,/!,P
-,-,p
que,que,52
vous,vous,51
êtes,être,17
donc,donc,82
gourmand,gourmand,30
!,!,p
reprit,reprendre,19
elle,il,51
en,en,81
s',se,51
égayant,égayer,13
un,un,71
peu,peu,60
à,à,81
son,son,73
tour,tour,21
;,;,p
eh,eh,93
bien,bien,60
!,!,p
si,si,83
vous,vous,51
ne,ne,60
pouvez,pouvoir,17
pas,pas,60
vivre,vivre,14
cinq,cinq,72
ou,ou,82
six,six,72
heures,heure,22
sans,sans,81
manger,manger,14
",",",",p
est,être,17
ce,ce,52
que,que,83
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
là,là,60
du,de,81
du,le,71
gibier,gibier,21
dans,dans,81
votre,votre,73
sac,sac,21
et,et,82
du,de,81
du,le,71
feu,feu,21
pour,pour,81
le,le,52
faire,faire,14
cuire,cuire,14
/?,/?,P
-,-,p
diantre,diantre,60
!,!,p
c',ce,52
est,être,17
une,un,71
bonne,bon,30
idée,idée,22
!,!,p
mais,mais,82
le,le,71
présent,présent,21
à,à,81
mon,mon,73
futur,futur,30
beau-père,beau-père,21
/?,/?,P
-,-,p
vous,vous,51
avez,avoir,17
six,six,72
perdrix,perdrix,22
et,et,82
un,un,71
lièvre,lièvre,21
/!,/!,P
je,je,51
pense,penser,17
qu',que,83
il,il,51
ne,ne,60
vous,vous,51
faut,falloir,17
pas,pas,60
tout,tout,52
cela,cela,52
pour,pour,81
vous,vous,51
rassasier,rassasier,14
/?,/?,P
-,-,p
mais,mais,82
faire,faire,14
cuire,cuire,14
cela,cela,52
ici,ici,60
",",",",p
sans,sans,81
broche,broche,22
et,et,82
sans,sans,81
landiers,landier,21
",",",",p
ça,ça,52
deviendra,devenir,15
du,de,81
du,le,71
charbon,charbon,21
/!,/!,P
-,-,p
non,non,60
pas,pas,60
",",",",p
dit,dire,19
la,le,71
petite,petit,30
Marie,Marie,20
;,;,p
je,je,51
me,je,51
charge,charger,17
de,de,81
vous,vous,51
le,le,52
faire,faire,14
cuire,cuire,14
sous,sous,81
la,le,71
cendre,cendre,22
sans,sans,81
goût,goût,21
de,de,81
fumée,fumée,22
/.,/.,P
est,être,17
ce,ce,52
que,que,83
vous,vous,51
n',ne,60
avez,avoir,17
jamais,jamais,60
attrapé,attraper,12
d',de,81
alouettes,alouette,22
dans,dans,81
les,le,71
champs,champ,21
",",",",p
et,et,82
que,que,83
vous,vous,51
ne,ne,60
les,le,52
avez,avoir,17
pas,pas,60
fait,faire,12
cuire,cuire,14
entre,entre,81
deux,deux,72
pierres,pierre,22
/?,/?,P
ah,ah,93
!,!,p
c',ce,52
est,être,17
vrai,vrai,30
!,!,p
j',je,51
oublie,oublier,17
que,que,83
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
été,être,12
pastour,pastour,21
/!,/!,P
voyons,voir,17
",",",",p
plumez,plumer,17
cette,ce,74
perdrix,perdrix,22
/!,/!,P
pas,pas,60
si,si,60
fort,fort,60
!,!,p
vous,vous,51
lui,lui,51
arrachez,arracher,17
la,le,71
peau,peau,22
/.,/.,P
-,-,p
tu,tu,51
pourrais,pouvoir,16
bien,bien,60
plumer,plumer,14
l',le,71
autre,autre,52
pour,pour,81
me,je,51
montrer,montrer,14
/!,/!,P
-,-,p
vous,vous,51
voulez,vouloir,17
donc,donc,82
en,en,52
manger,manger,14
deux,deux,72
/?,/?,P
quel,quel,75
ogre,ogre,21
/!,/!,P
allons,aller,17
",",",",p
les,le,52
voilà,voilà,81
plumées,plumé,31
",",",",p
je,je,51
vais,aller,17
les,le,52
cuire,cuire,14
/.,/.,P
-,-,p
tu,tu,51
ferais,faire,16
une,un,71
parfaite,parfait,31
cantinière,cantinière,22
",",",",p
petite,petit,30
Marie,Marie,20
;,;,p
mais,mais,82
",",",",p
par,par,81
malheur,malheur,21
",",",",p
tu,tu,51
n',ne,60
as,avoir,17
pas,pas,60
de,de,81
cantine,cantine,22
",",",",p
et,et,82
je,je,51
serai,être,16
réduit,réduire,12
à,à,81
boire,boire,14
l',le,71
eau,eau,22
de,de,81
cette,ce,74
mare,mare,22
/.,/.,P
-,-,p
vous,vous,51
voudriez,vouloir,16
du,de,81
du,le,71
vin,vin,21
",",",",p
pas,pas,60
vrai,vrai,30
/?,/?,P
il,il,51
vous,vous,51
faudrait,falloir,16
peut-être,peut-être,60
du,de,81
du,le,71
café,café,21
/?,/?,P
vous,vous,51
vous,vous,51
croyez,croire,17
à,à,81
la,le,71
foire,foire,22
sous,sous,81
la,le,71
ramée,ramée,22
/!,/!,P
appelez,appeler,17
l',le,71
aubergiste,aubergiste,21
:,:,p
de,de,81
la,le,71
liqueur,liqueur,22
au,à,81
au,le,71
fin,fin,30
laboureur,laboureur,21
de,de,81
Belair,Belair,20
/!,/!,P
-,-,p
ah,ah,93
!,!,p
petite,petit,30
méchante,méchant,30
",",",",p
vous,vous,51
vous,vous,51
moquez,moquer,17
de,de,81
moi,moi,51
/?,/?,P
vous,vous,51
ne,ne,60
boiriez,boire,16
pas,pas,60
du,de,81
du,le,71
vin,vin,21
",",",",p
vous,vous,51
",",",",p
si,si,83
vous,vous,51
en,en,52
aviez,avoir,18
/?,/?,P
-,-,p
moi,moi,51
/?,/?,P
j',je,51
en,en,52
ai,avoir,17
bu,boire,12
ce,ce,74
soir,soir,21
avec,avec,81
vous,vous,51
chez,chez,81
la,le,71
Rebec,Rebec,20
",",",",p
pour,pour,81
la,le,71
seconde,second,72
fois,fois,22
de,de,81
ma,mon,73
vie,vie,22
;,;,p
mais,mais,82
si,si,83
vous,vous,51
êtes,être,17
bien,bien,60
sage,sage,30
",",",",p
je,je,51
vais,aller,17
vous,vous,51
en,en,52
donner,donner,14
une,un,71
bouteille,bouteille,22
quasi,quasi,60
pleine,plein,30
",",",",p
et,et,82
du,de,81
du,le,71
bon,bon,21
encore,encore,60
/!,/!,P
-,-,p
comment,comment,60
",",",",p
Marie,Marie,20
",",",",p
tu,tu,51
es,être,17
donc,donc,82
sorcière,sorcier,30
",",",",p
décidément,décidément,60
/?,/?,P
-,-,p
est,être,17
ce,ce,52
que,que,52
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
fait,faire,12
la,le,71
folie,folie,22
de,de,81
demander,demander,14
deux,deux,72
bouteilles,bouteille,22
de,de,81
vin,vin,21
à,à,81
la,le,71
Rebec,Rebec,20
/?,/?,P
vous,vous,51
en,en,52
avez,avoir,17
bu,boire,12
une,un,52
avec,avec,81
votre,votre,73
petit,petit,21
",",",",p
et,et,82
j',je,51
ai,avoir,17
à,à,81
peine,peine,22
avalé,avaler,12
trois,trois,72
gouttes,goutte,22
de,de,81
celle,celui,52
que,que,52
vous,vous,51
aviez,avoir,18
mise,mettre,12
devant,devant,81
moi,moi,51
/.,/.,P
cependant,cependant,82
vous,vous,51
les,le,52
avez,avoir,17
payées,payer,12
toutes,tout,75
les,le,71
deux,deux,72
sans,sans,81
y,y,52
regarder,regarder,14
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
/?,/?,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
j',je,51
ai,avoir,17
mis,mettre,12
dans,dans,81
mon,mon,73
panier,panier,21
celle,celui,52
qui,qui,52
n',ne,60
avait,avoir,18
pas,pas,60
été,être,12
bue,boire,12
",",",",p
parce que,parce que,83
j',je,51
ai,avoir,17
pensé,penser,12
que,que,83
vous,vous,51
ou,ou,82
votre,votre,73
petit,petit,30
auriez,avoir,16
soif,soif,22
en,en,81
route,route,22
;,;,p
et,et,82
la,le,52
voilà,voilà,81
/.,/.,P
-,-,p
tu,tu,51
es,être,17
la,le,71
fille,fille,22
la,le,71
plus,plus,60
avisée,avisé,31
que,que,83
j',je,51
aie,avoir,17
jamais,jamais,60
rencontrée,rencontrer,12
/.,/.,P
voyez,voir,17
!,!,p
elle,il,51
pleurait,pleurer,18
pourtant,pourtant,60
",",",",p
cette,ce,74
pauvre,pauvre,30
enfant,enfant,21
en,en,81
sortant,sortir,13
de,de,81
l',le,71
auberge,auberge,22
/!,/!,P
ça,ça,52
ne,ne,60
l',le,52
a,avoir,17
pas,pas,60
empêchée,empêcher,12
de,de,81
/.,/.,P
