11987
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-troisième extrait>,<>,<>
César,César,20
ce,ce,52
qui,qui,52
appartient,appartenir,17
à,à,81
César,César,20
/.,/.,P
“,“,p
et,et,82
notez,noter,17
",",",",p
messieurs,monsieur,21
",",",",p
que,que,83
ce,ce,74
vocable,vocable,21
est,être,17
excellent,excellent,30
/.,/.,P
on,on,51
dira,dire,15
le,le,71
Mont-Oriol,Mont-Oriol,20
",",",",p
comme,comme,83
on,on,51
dit,dire,17
le,le,71
Mont-Dore,Mont-Dore,20
/.,/.,P
il,il,51
reste,rester,17
dans,dans,81
l',le,71
oeil,oeil,21
et,et,82
dans,dans,81
l',le,71
oreille,oreille,22
",",",",p
on,on,51
le,le,52
voit,voir,17
bien,bien,60
",",",",p
on,on,51
l',le,52
entend,entendre,17
bien,bien,60
",",",",p
il,il,51
demeure,demeurer,17
en,en,81
nous,nous,51
:,:,p
Mont-Oriol,Mont-Oriol,20
/!,/!,P
Mont-Oriol,Mont-Oriol,20
/!,/!,P
les,le,71
bains,bain,21
du,de,81
du,le,71
Mont-Oriol,Mont-Oriol,20
/…,/…,P
“,“,p
et,et,82
Andermatt,Andermatt,20
le,le,52
faisait,faire,18
sonner,sonner,14
",",",",p
ce,ce,74
mot,mot,21
",",",",p
le,le,52
lançait,lancer,18
comme,comme,83
une,un,71
balle,balle,22
",",",",p
en,en,52
écoutait,écouter,18
l',le,71
écho,écho,21
/.,/.,P
il,il,51
reprit,reprendre,19
",",",",p
simulant,simuler,13
des,de,81
des,le,71
dialogues,dialogue,21
:,:,p
“,“,p
vous,vous,51
allez,aller,17
aux,à,81
aux,le,71
bains,bain,21
du,de,81
du,le,71
Mont-Oriol,Mont-Oriol,20
/?,/?,P
oui,oui,60
",",",",p
madame,madame,22
/.,/.,P
on,on,51
les,le,52
dit,dire,17
parfaites,parfait,31
",",",",p
ces,ce,74
eaux,eau,22
du,de,81
du,le,71
Mont-Oriol,Mont-Oriol,20
/.,/.,P
-,-,p
excellentes,excellent,30
",",",",p
en,en,81
effet,effet,21
/.,/.,P
Mont-Oriol,Mont-Oriol,20
",",",",p
d',de,81
ailleurs,ailleurs,60
",",",",p
est,être,17
un,un,71
délicieux,délicieux,30
pays,pays,21
/.,/.,P
“,“,p
et,et,82
il,il,51
souriait,sourire,18
",",",",p
avait,avoir,18
l',le,71
air,air,21
de,de,81
causer,causer,14
",",",",p
changeait,changer,18
de,de,81
ton,ton,21
pour,pour,81
indiquer,indiquer,14
quand,quand,83
parlait,parler,18
la,le,71
dame,dame,22
",",",",p
saluait,saluer,18
de,de,81
la,le,71
main,main,22
en,en,81
représentant,représenter,13
le,le,71
monsieur,monsieur,21
/.,/.,P
puis,puis,60
il,il,51
reprit,reprendre,19
",",",",p
de,de,81
sa,son,73
voix,voix,22
naturelle,naturel,30
:,:,p
“,“,p
quelqu'un,quelqu'un,52
a,avoir,17
t,t,94
il,il,51
une,un,71
objection,objection,22
à,à,81
présenter,présenter,14
/?,/?,P
les,le,71
actionnaires,actionnaire,21
répondirent,répondre,19
en,en,81
choeur,choeur,21
:,:,p
“,“,p
non,non,60
",",",",p
aucune,aucun,52
/.,/.,P
“,“,p
trois,trois,72
des,de,81
des,le,71
figurants,figurant,21
applaudirent,applaudir,19
/.,/.,P
le,le,71
père,père,21
Oriol,Oriol,20
",",",",p
ému,ému,31
",",",",p
flatté,flatté,31
",",",",p
conquis,conquis,31
",",",",p
pris,pris,31
par,par,81
son,son,73
orgueil,orgueil,21
intime,intimer,17
de,de,81
paysan,paysan,21
parvenu,parvenu,31
",",",",p
souriait,sourire,18
en,en,81
tournant,tourner,13
son,son,73
chapeau,chapeau,21
dans,dans,81
ses,son,73
mains,main,22
",",",",p
et,et,82
il,il,51
faisait,faire,18
“,“,p
oui,oui,60
“,“,p
de,de,81
la,le,71
tête,tête,22
",",",",p
malgré,malgré,81
lui,lui,51
",",",",p
un,un,71
“,“,p
oui,oui,60
“,“,p
qui,qui,52
révélait,révéler,18
sa,son,73
joie,joie,22
et,et,82
qu',que,83
Andermatt,Andermatt,20
observait,observer,18
sans,sans,81
paraître,paraître,14
le,le,52
regarder,regarder,14
/.,/.,P
Colosse,Colosse,20
demeurait,demeurer,18
impassible,impassible,30
",",",",p
mais,mais,82
aussi,aussi,60
content,content,30
que,que,83
son,son,73
père,père,21
/.,/.,P
alors,alors,60
Andermatt,Andermatt,20
dit,dire,17
au,à,81
au,le,71
notaire,notaire,21
:,:,p
“,“,p
veuillez,vouloir,17
lire,lire,14
l',le,71
acte,acte,21
pour,pour,81
la,le,71
constitution,constitution,22
de,de,81
la,le,71
société,société,22
",",",",p
maître,maître,21
Alain,Alain,20
/.,/.,P
“,“,p
et,et,82
il,il,51
s',se,51
assit,asseoir,19
/.,/.,P
le,le,71
notaire,notaire,21
dit,dit,31
à,à,81
son,son,73
clerc,clerc,21
:,:,p
“,“,p
allez,aller,17
",",",",p
Marinet,Marinet,20
/.,/.,P
“,“,p
Marinet,Marinet,20
",",",",p
un,un,71
pauvre,pauvre,30
être,être,21
étique,étique,30
",",",",p
toussota,toussoter,19
et,et,82
",",",",p
avec,avec,81
des,de,81
des,le,71
intonations,intonation,22
de,de,81
prédicateur,prédicateur,21
et,et,82
des,de,81
des,le,71
intentions,intention,22
déclamatoires,déclamatoire,30
",",",",p
il,il,51
commença,commencer,19
à,à,81
énumérer,énumérer,14
les,le,71
statuts,statut,21
relatifs,relatif,30
à,à,81
la,le,71
constitution,constitution,22
d',de,81
une,un,71
société,société,22
anonyme,anonyme,30
",",",",p
dite,dit,31
société,société,22
de,de,81
l',le,71
établissement,établissement,21
thermal,thermal,30
du,de,81
du,le,71
Mont-Oriol,Mont-Oriol,20
",",",",p
à,à,81
Enval,Enval,20
",",",",p
au,à,81
au,le,71
capital,capital,21
de,de,81
deux,deux,72
millions,million,21
/.,/.,P
le,le,71
père,père,21
Oriol,Oriol,20
l',le,52
interrompit,interrompre,19
:,:,p
“,“,p
moment,moment,21
",",",",p
moment,moment,21
“,“,p
",",",",p
dit,dire,19
il,il,51
/.,/.,P
et,et,82
il,il,51
tira,tirer,19
de,de,81
sa,son,73
poche,poche,22
un,un,71
cahier,cahier,21
de,de,81
papier,papier,21
graisseux,graisseux,30
",",",",p
traîné,traîné,31
depuis,depuis,81
huit,huit,72
jours,jour,21
chez,chez,81
tous,tout,75
les,le,71
notaires,notaire,21
et,et,82
tous,tout,75
les,le,71
hommes,homme,21
d',de,81
affaires,affaire,22
du,de,81
du,le,71
département,département,21
/.,/.,P
c',ce,52
était,être,18
la,le,71
copie,copie,22
des,de,81
des,le,71
statuts,statut,21
que,que,83
son,son,73
fils,fils,21
et,et,82
lui,lui,51
",",",",p
d',de,81
ailleurs,ailleurs,60
",",",",p
commençaient,commencer,18
à,à,81
savoir,savoir,14
par,par,81
coeur,coeur,21
/.,/.,P
puis,puis,60
il,il,51
appliqua,appliquer,19
lentement,lentement,60
ses,son,73
lunettes,lunette,22
sur,sur,81
son,son,73
nez,nez,21
",",",",p
redressa,redresser,19
sa,son,73
tête,tête,22
",",",",p
chercha,chercher,19
le,le,71
point,point,21
juste,juste,30
où,où,60
il,il,51
distinguait,distinguer,18
bien,bien,60
les,le,71
lettres,lettre,22
",",",",p
et,et,82
il,il,51
ordonna,ordonner,19
:,:,p
“,“,p
vas,aller,17
y,y,52
",",",",p
Marinet,Marinet,20
/.,/.,P
“,“,p
Colosse,Colosse,20
",",",",p
ayant,avoir,13
rapproché,rapprocher,12
sa,son,73
chaise,chaise,22
",",",",p
suivait,suivre,18
aussi,aussi,60
sur,sur,81
le,le,71
papier,papier,21
du,de,81
du,le,71
père,père,21
/.,/.,P
et,et,82
Marinet,Marinet,20
recommença,recommencer,19
/.,/.,P
alors,alors,60
le,le,71
vieux,vieux,30
Oriol,Oriol,20
",",",",p
dérouté,dérouté,31
par,par,81
la,le,71
double,double,30
besogne,besogner,22
d',de,81
écouter,écouter,14
et,et,82
de,de,81
lire,lire,14
en,en,81
même,même,75
temps,temps,21
",",",",p
torturé,torturé,31
par,par,81
la,le,71
crainte,crainte,22
d',de,81
un,un,71
mot,mot,21
changé,changé,31
",",",",p
obsédé,obsédé,31
aussi,aussi,60
par,par,81
le,le,71
désir,désir,21
de,de,81
voir,voir,14
si,si,83
Andermatt,Andermatt,20
ne,ne,60
faisait,faire,18
point,point,60
quelque,quelque,75
signe,signe,21
au,à,81
au,le,71
notaire,notaire,21
",",",",p
ne,ne,60
laissa,laisser,19
plus,plus,60
passer,passer,14
une,un,71
ligne,ligne,22
sans,sans,81
arrêter,arrêter,14
dix,dix,72
fois,fois,22
le,le,71
clerc,clerc,21
dont,dont,52
il,il,51
coupait,couper,18
les,le,71
effets,effet,21
/.,/.,P
il,il,51
répétait,répéter,18
:,:,p
“,“,p
tu,tu,51
dis,dire,17
/?,/?,P
qué,que,52
qué,être,17
que,que,83
tu,tu,51
dis,dire,19
là,là,60
/?,/?,P
j',je,51
ai,avoir,17
point,point,60
entendu,entendre,12
!,!,p
pas,pas,60
chi,si,60
vite,vite,60
/.,/.,P
“,“,p
puis,puis,60
",",",",p
se,se,51
tournant,tourner,13
un,un,71
peu,peu,60
vers,vers,81
son,son,73
fils,fils,21
:,:,p
“,“,p
ch',ce,52
est,être,17
il,il,51
cha,ça,52
",",",",p
Coloche,Coloche,20
/?,/?,P
Colosse,Colosse,20
",",",",p
plus,plus,60
maître,maître,21
de,de,81
lui,lui,51
",",",",p
répondait,répondre,18
:,:,p
“,“,p
cha,ça,52
va,aller,17
",",",",p
païré,père,21
",",",",p
laiche,laisser,17
",",",",p
laiche,laisser,17
cha,ça,52
va,aller,17
/!,/!,P
le,le,71
paysan,paysan,21
n',ne,60
avait,avoir,18
pas,pas,60
confiance,confiance,22
/.,/.,P
du,de,81
du,le,71
bout,bout,21
de,de,81
son,son,73
doigt,doigt,21
crochu,crochu,30
il,il,51
suivait,suivre,18
sur,sur,81
son,son,73
papier,papier,21
en,en,81
marmottant,marmotter,13
les,le,71
mots,mot,21
entre,entre,81
ses,son,73
lèvres,lèvre,22
;,;,p
mais,mais,82
son,son,73
attention,attention,22
ne,ne,60
pouvant,pouvoir,13
se,se,51
fixer,fixer,14
au,à,81
au,le,71
même,même,75
moment,moment,21
des,de,81
des,le,71
deux,deux,72
côtés,côté,21
",",",",p
quand,quand,83
il,il,51
écoutait,écouter,18
",",",",p
il,il,51
ne,ne,60
lisait,lire,18
plus,plus,60
",",",",p
et,et,82
il,il,51
n',ne,60
entendait,entendre,18
point,point,60
quand,quand,83
il,il,51
lisait,lire,18
/.,/.,P
et,et,82
il,il,51
soufflait,souffler,18
comme,comme,83
s',si,83
il,il,51
eût,avoir,19
gravi,gravir,12
un,un,71
mont,mont,21
",",",",p
il,il,51
transpirait,transpirer,18
comme,comme,83
s',si,83
il,il,51
eût,avoir,19
bêché,bêcher,12
sa,son,73
vigne,vigne,22
en,en,81
plein,plein,30
soleil,soleil,21
",",",",p
et,et,82
de,de,81
temps,temps,21
en,en,81
temps,temps,21
il,il,51
demandait,demander,18
un,un,71
repos,repos,21
de,de,81
quelques,quelque,75
minutes,minute,22
",",",",p
pour,pour,81
s',se,51
essuyer,essuyer,14
le,le,71
front,front,21
et,et,82
reprendre,reprendre,14
haleine,haleine,22
",",",",p
comme,comme,83
un,un,71
homme,homme,21
qui,qui,52
se,se,51
bat,battre,17
en,en,81
duel,duel,21
/.,/.,P
Andermatt,Andermatt,20
",",",",p
impatienté,impatienté,31
",",",",p
frappait,frapper,18
le,le,71
sol,sol,21
de,de,81
son,son,73
pied,pied,21
/.,/.,P
Gontran,Gontran,20
",",",",p
ayant,avoir,13
aperçu,apercevoir,12
sur,sur,81
une,un,71
table,table,22
le,le,71
Moniteur,Moniteur,20
du,de,81
du,le,71
Puy-de-Dôme,Puy-de-Dôme,20
",",",",p
l',le,52
avait,avoir,18
pris,prendre,12
et,et,82
le,le,52
parcourait,parcourir,18
;,;,p
et,et,82
Paul,Paul,20
",",",",p
à,à,81
cheval,cheval,21
sur,sur,81
sa,son,73
chaise,chaise,22
",",",",p
le,le,71
front,front,21
baissé,baissé,31
",",",",p
le,le,71
coeur,coeur,21
crispé,crispé,31
",",",",p
songeait,songer,18
que,que,83
ce,ce,74
petit,petit,30
homme,homme,21
rose,rose,30
et,et,82
ventru,ventru,30
",",",",p
assis,assis,31
devant,devant,81
lui,lui,51
",",",",p
allait,aller,18
emporter,emporter,14
",",",",p
le,le,71
lendemain,lendemain,21
",",",",p
la,le,71
femme,femme,22
qu',que,83
il,il,51
aimait,aimer,18
de,de,81
toute,tout,75
son,son,73
âme,âme,22
",",",",p
Christiane,Christiane,20
",",",",p
sa,son,73
Christiane,Christiane,20
",",",",p
sa,son,73
blonde,blond,30
Christiane,Christiane,20
qui,qui,52
était,être,18
à,à,81
lui,lui,51
",",",",p
toute,tout,52
à,à,81
lui,lui,51
",",",",p
rien,rien,52
qu',que,83
à,à,81
lui,lui,51
/.,/.,P
et,et,82
il,il,51
se,se,51
demandait,demander,18
s',si,83
il,il,51
n',ne,60
allait,aller,18
pas,pas,60
l',le,52
enlever,enlever,14
ce,ce,74
soir,soir,21
là,là,60
même,même,60
/.,/.,P
les,le,71
sept,sept,72
messieurs,monsieur,21
demeuraient,demeurer,18
sérieux,sérieux,30
et,et,82
tranquilles,tranquille,30
/.,/.,P
au,à,81
au,le,71
bout,bout,21
d',de,81
une,un,71
heure,heure,22
",",",",p
ce,ce,52
fut,être,19
fini,finir,12
/.,/.,P
on,on,51
signa,signer,19
/.,/.,P
le,le,71
notaire,notaire,21
prit,prendre,19
acte,acte,21
des,de,81
des,le,71
versements,versement,21
/.,/.,P
à,à,81
l',le,71
appel,appel,21
de,de,81
son,son,73
nom,nom,21
",",",",p
le,le,71
caissier,caissier,21
",",",",p
monsieur,monsieur,21
Abraham,Abraham,20
Lévy,Lévy,20
",",",",p
déclara,déclarer,19
avoir,avoir,14
reçu,recevoir,12
les,le,71
fonds,fonds,21
/.,/.,P
puis,puis,60
la,le,71
société,société,22
",",",",p
aussitôt,aussitôt,60
constituée,constitué,31
légalement,légalement,60
",",",",p
fut,être,19
déclarée,déclarer,12
réunie,réuni,31
en,en,81
assemblée,assemblée,22
générale,général,30
",",",",p
tous,tout,75
les,le,71
actionnaires,actionnaire,21
étant,être,13
présents,présent,30
",",",",p
pour,pour,81
la,le,71
nomination,nomination,22
du,de,81
du,le,71
conseil,conseil,21
d',de,81
administration,administration,22
et,et,82
l',le,71
élection,élection,22
de,de,81
son,son,73
président,président,21
/.,/.,P
toutes,tout,75
les,le,71
voix,voix,22
",",",",p
moins,moins,60
deux,deux,72
",",",",p
proclamèrent,proclamer,19
Andermatt,Andermatt,20
président,président,21
/.,/.,P
les,le,71
deux,deux,72
voix,voix,22
dissidentes,dissident,30
",",",",p
celles,celui,52
du,de,81
du,le,71
paysan,paysan,21
et,et,82
de,de,81
son,son,73
fils,fils,21
",",",",p
avaient,avoir,18
désigné,désigner,12
Oriol,Oriol,20
/.,/.,P
Brétigny,Brétigny,20
fut,être,19
nommé,nommer,12
commissaire,commissaire,21
de,de,81
surveillance,surveillance,22
/.,/.,P
alors,alors,60
le,le,71
conseil,conseil,21
",",",",p
composé,composé,21
de,de,81
messieurs,monsieur,21
Andermatt,Andermatt,20
",",",",p
le,le,71
marquis,marquis,21
et,et,82
le,le,71
comte,comte,21
de,de,81
Ravenel,Ravenel,20
",",",",p
Brétigny,Brétigny,20
",",",",p
Oriol,Oriol,20
père,père,21
et,et,82
fils,fils,21
",",",",p
le,le,71
docteur,docteur,21
Latonne,Latonne,20
",",",",p
Abraham,Abraham,20
Lévy,Lévy,20
et,et,82
Simon,Simon,20
Zidler,Zidler,20
",",",",p
pria,prier,19
le,le,71
reste,reste,21
des,de,81
des,le,71
actionnaires,actionnaire,21
de,de,81
se,se,51
retirer,retirer,14
",",",",p
ainsi,ainsi,60
que,que,83
le,le,71
notaire,notaire,21
et,et,82
son,son,73
clerc,clerc,21
",",",",p
afin,afin,81
qu',que,83
il,il,51
pût,pouvoir,18
délibérer,délibérer,14
sur,sur,81
les,le,71
premières,premier,72
résolutions,résolution,22
à,à,81
prendre,prendre,14
et,et,82
arrêter,arrêter,14
les,le,71
points,point,21
les,le,71
plus,plus,60
importants,important,30
/.,/.,P
Andermatt,Andermatt,20
se,se,51
leva,lever,19
de,de,81
nouveau,nouveau,21
/.,/.,P
“,“,p
messieurs,monsieur,21
",",",",p
nous,nous,51
entrons,entrer,17
dans,dans,81
la,le,71
question,question,22
vive,vif,30
",",",",p
celle,celui,52
du,de,81
du,le,71
succès,succès,21
",",",",p
qu',que,52
il,il,51
nous,nous,51
faut,falloir,17
obtenir,obtenir,14
à,à,81
tout,tout,75
prix,prix,21
/.,/.,P
“,“,p
il,il,51
en,en,52
est,être,17
des,de,81
des,le,71
eaux,eau,22
minérales,minéral,30
comme,comme,83
de,de,81
tout,tout,52
/.,/.,P
il,il,51
faut,falloir,17
qu',que,83
on,on,51
parle,parler,17
d',de,81
elles,ils,51
",",",",p
beaucoup,beaucoup,60
",",",",p
toujours,toujours,60
",",",",p
pour,pour,81
que,que,83
les,le,71
malades,malade,21
en,en,52
boivent,boire,17
/.,/.,P
“,“,p
la,le,71
grande,grand,30
question,question,22
moderne,moderne,30
",",",",p
messieurs,monsieur,21
",",",",p
c',ce,52
est,être,17
la,le,71
réclame,réclame,22
;,;,p
elle,il,51
est,être,17
le,le,71
dieu,dieu,21
du,de,81
du,le,71
commerce,commerce,21
et,et,82
de,de,81
l',le,71
industrie,industrie,22
contemporains,contemporain,30
/.,/.,P
hors,hors,81
la,le,71
réclame,réclame,22
",",",",p
pas,pas,60
de,de,81
salut,salut,21
/.,/.,P
l',le,71
art,art,21
de,de,81
la,le,71
réclame,réclame,22
",",",",p
d',de,81
ailleurs,ailleurs,60
",",",",p
est,être,17
difficile,difficile,30
",",",",p
compliqué,compliqué,31
",",",",p
et,et,82
demande,demander,17
un,un,71
tact,tact,21
très,très,60
grand,grand,30
/.,/.,P
les,le,71
premiers,premier,72
qui,qui,52
ont,avoir,17
employé,employer,12
ce,ce,74
procédé,procédé,21
nouveau,nouveau,30
l',le,52
ont,avoir,17
fait,faire,12
brutalement,brutalement,60
",",",",p
attirant,attirer,13
l',le,71
attention,attention,22
par,par,81
le,le,71
bruit,bruit,21
",",",",p
par,par,81
les,le,71
coups,coup,21
de,de,81
grosse,gros,30
caisse,caisse,22
et,et,82
les,le,71
coups,coup,21
de,de,81
canon,canon,21
/.,/.,P
Mangin,Mangin,20
",",",",p
messieurs,monsieur,21
",",",",p
ne,ne,60
fut,être,19
qu',que,83
un,un,71
précurseur,précurseur,21
/.,/.,P
aujourd'hui,aujourd'hui,60
",",",",p
le,le,71
tapage,tapage,21
est,être,17
suspect,suspect,30
",",",",p
les,le,71
affiches,affiche,22
voyantes,voyant,30
font,faire,17
sourire,sourire,14
",",",",p
les,le,71
noms,nom,21
criés,crié,31
par,par,81
les,le,71
rues,rue,22
éveillent,éveiller,17
plus,plus,60
de,de,81
méfiance,méfiance,22
que,que,83
de,de,81
curiosité,curiosité,22
/.,/.,P
et,et,82
cependant,cependant,82
",",",",p
il,il,51
faut,falloir,17
attirer,attirer,14
l',le,71
attention,attention,22
publique,public,30
et,et,82
",",",",p
après,après,81
l',le,52
avoir,avoir,14
frappée,frapper,12
",",",",p
il,il,51
faut,falloir,17
la,le,52
convaincre,convaincre,14
/.,/.,P
l',le,71
art,art,21
consiste,consister,17
donc,donc,82
à,à,81
découvrir,découvrir,14
le,le,71
moyen,moyen,21
",",",",p
le,le,71
seul,seul,30
moyen,moyen,21
qui,qui,52
peut,pouvoir,17
réussir,réussir,14
",",",",p
étant,être,13
donné,donner,12
ce,ce,52
qu',que,52
on,on,51
veut,vouloir,17
vendre,vendre,14
/.,/.,P
nous,nous,51
autres,autre,30
",",",",p
messieurs,monsieur,21
",",",",p
nous,nous,51
voulons,vouloir,17
vendre,vendre,14
de,de,81
l',le,71
eau,eau,22
/.,/.,P
c',ce,52
est,être,17
/.,/.,P
