11606
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante et unième extrait>,<>,<>
pardon,pardon,21
",",",",p
vous,vous,51
ne,ne,60
pouvez,pouvoir,17
pas,pas,60
comprendre,comprendre,14
ce,ce,52
que,que,52
je,je,51
dis,dire,17
là,là,60
/.,/.,P
vous,vous,51
trouverez,trouver,15
chez,chez,81
moi,moi,51
",",",",p
dans,dans,81
les,le,71
cendres,cendre,22
de,de,81
la,le,71
cheminée,cheminée,22
",",",",p
la,le,71
pièce,pièce,22
de,de,81
quarante,quarante,72
sous,sou,21
que,que,52
j',je,51
ai,avoir,17
volée,voler,12
il,il,51
y,y,52
a,avoir,17
sept,sept,72
ans,an,21
à,à,81
Petit-Gervais,Petit-Gervais,20
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
rien,rien,52
à,à,81
ajouter,ajouter,14
/.,/.,P
prenez,prendre,17
moi,moi,51
/.,/.,P
mon,mon,73
dieu,dieu,21
!,!,p
monsieur,monsieur,21
l',le,71
avocat,avocat,21
général,général,30
remue,remuer,17
la,le,71
tête,tête,22
",",",",p
vous,vous,51
dites,dire,17
:,:,p
monsieur,monsieur,21
Madeleine,Madeleine,20
est,être,17
devenu,devenir,12
fou,fou,30
",",",",p
vous,vous,51
ne,ne,60
me,je,51
croyez,croire,17
pas,pas,60
/!,/!,P
voilà,voilà,81
qui,qui,52
est,être,17
affligeant,affligeant,30
/.,/.,P
n',ne,60
allez,aller,17
point,point,60
condamner,condamner,14
cet,ce,74
homme,homme,21
au,à,81
au,le,71
moins,moins,60
/!,/!,P
quoi,quoi,52
!,!,p
ceux-ci,celui-ci,52
ne,ne,60
me,je,51
reconnaissent,reconnaître,17
pas,pas,60
/!,/!,P
je,je,51
voudrais,vouloir,16
que,que,83
Javert,Javert,20
fût,être,19
ici,ici,60
/.,/.,P
il,il,51
me,je,51
reconnaîtrait,reconnaître,16
",",",",p
lui,lui,51
/!,/!,P
rien,rien,52
ne,ne,60
pourrait,pouvoir,16
rendre,rendre,14
ce,ce,52
qu',que,52
il,il,51
y,y,52
avait,avoir,18
de,de,81
mélancolie,mélancolie,22
bienveillante,bienveillant,30
et,et,82
sombre,sombre,30
dans,dans,81
l',le,71
accent,accent,21
qui,qui,52
accompagnait,accompagner,18
ces,ce,74
paroles,parole,22
/.,/.,P
il,il,51
se,se,51
tourna,tourner,19
vers,vers,81
les,le,71
trois,trois,72
forçats,forçat,21
:,:,p
-,-,p
eh,eh,93
bien,bien,60
",",",",p
je,je,51
vous,vous,51
reconnais,reconnaître,17
",",",",p
moi,moi,51
!,!,p
Brevet,Brevet,20
!,!,p
vous,vous,51
rappelez,rappeler,17
vous,vous,51
?,?,p
/…,/…,P
il,il,51
s',se,51
interrompit,interrompre,19
",",",",p
hésita,hésiter,19
un,un,71
moment,moment,21
",",",",p
et,et,82
dit,dire,19
:,:,p
-,-,p
te,tu,51
rappelles,rappeler,17
tu,tu,51
ces,ce,74
bretelles,bretelle,22
en,en,81
tricot,tricot,21
à,à,81
damier,damier,21
que,que,83
tu,tu,51
avais,avoir,18
au,à,81
au,le,71
bagne,bagne,21
/?,/?,P
Brevet,Brevet,20
eut,avoir,19
comme,comme,83
une,un,71
secousse,secousse,22
de,de,81
surprise,surprise,22
et,et,82
le,le,52
regarda,regarder,19
de,de,81
la,le,71
tête,tête,22
aux,à,81
aux,le,71
pieds,pied,21
d',de,81
un,un,71
air,air,21
effrayé,effrayé,31
/.,/.,P
lui,lui,51
continua,continuer,19
:,:,p
-,-,p
Chenildieu,Chenildieu,20
",",",",p
qui,qui,52
te,tu,51
surnommais,surnommer,18
toi-même,toi-même,51
je,je,51
nie,nier,17
dieu,dieu,21
",",",",p
tu,tu,51
as,avoir,17
toute,tout,75
l',le,71
épaule,épaule,22
droite,droit,30
brûlée,brûlé,31
profondément,profondément,60
",",",",p
parce que,parce que,83
tu,tu,51
t',tu,51
es,être,17
couché,coucher,12
un,un,71
jour,jour,21
l',le,52
épaule,épauler,17
sur,sur,81
un,un,71
réchaud,réchaud,21
plein,plein,30
de,de,81
braise,braise,22
",",",",p
pour,pour,81
effacer,effacer,14
les,le,71
trois,trois,72
lettres,lettre,22
T.,T,20
F.,F,20
P.,P,20
",",",",p
qu',que,83
on,on,51
y,y,52
voit,voir,17
toujours,toujours,60
cependant,cependant,82
/.,/.,P
réponds,répondre,17
",",",",p
est,être,17
ce,ce,52
vrai,vrai,30
/?,/?,P
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
dit,dire,19
Chenildieu,Chenildieu,20
/.,/.,P
il,il,51
s',se,51
adressa,adresser,19
à,à,81
Cochepaille,Cochepaille,20
:,:,p
-,-,p
Cochepaille,Cochepaille,20
",",",",p
tu,tu,51
as,avoir,17
près,près,81
de,de,81
la,le,71
saignée,saignée,22
du,de,81
du,le,71
bras,bras,21
gauche,gauche,30
une,un,71
date,date,22
gravée,gravé,31
en,en,81
lettres,lettre,22
bleues,bleu,30
avec,avec,81
de,de,81
la,le,71
poudre,poudre,22
brûlée,brûlé,31
/.,/.,P
cette,ce,74
date,date,22
",",",",p
c',ce,52
est,être,17
celle,celui,52
du,de,81
du,le,71
débarquement,débarquement,21
de,de,81
l',le,71
empereur,empereur,21
à,à,81
Cannes,Cannes,20
",",",",p
<Nombre 1er mars 1815>,<>,<>
premier,premier,72
mars,mars,21
mille,mille,72
huit,huit,72
cent,cent,72
quinze,quinze,72
<Fin nombre>,<>,<>
/.,/.,P
relève,relever,17
ta,ton,73
manche,manche,22
/.,/.,P
Cochepaille,Cochepaille,20
releva,relever,19
sa,son,73
manche,manche,22
",",",",p
tous,tout,75
les,le,71
regards,regard,21
se,se,51
penchèrent,pencher,19
autour,autour,60
de,de,81
lui,lui,51
sur,sur,81
son,son,73
bras,bras,21
nu,nu,30
/.,/.,P
un,un,71
gendarme,gendarme,21
approcha,approcher,19
une,un,71
lampe,lampe,22
;,;,p
la,le,71
date,date,22
y,y,52
était,être,18
/.,/.,P
le,le,71
malheureux,malheureux,30
homme,homme,21
se,se,51
tourna,tourner,19
vers,vers,81
l',le,71
auditoire,auditoire,21
et,et,82
vers,vers,81
les,le,71
juges,juge,21
avec,avec,81
un,un,71
sourire,sourire,21
dont,dont,52
ceux,celui,52
qui,qui,52
l',le,52
ont,avoir,17
vu,voir,12
sont,être,17
encore,encore,60
navrés,navrer,12
lorsqu',lorsque,83
ils,ils,51
y,y,52
songent,songer,17
/.,/.,P
c',ce,52
était,être,18
le,le,52
sourire,sourire,14
du,de,81
du,le,71
triomphe,triomphe,21
",",",",p
c',ce,52
était,être,18
aussi,aussi,60
le,le,71
sourire,sourire,21
du,de,81
du,le,71
désespoir,désespoir,21
/.,/.,P
-,-,p
vous,vous,51
voyez,voir,17
bien,bien,60
",",",",p
dit,dire,19
il,il,51
",",",",p
que,que,83
je,je,51
suis,être,17
Jean,Jean,20
Valjean,Valjean,20
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
plus,plus,60
dans,dans,81
cette,ce,74
enceinte,enceinte,22
ni,ni,82
juges,juge,21
",",",",p
ni,ni,82
accusateurs,accusateur,21
",",",",p
ni,ni,82
gendarmes,gendarme,21
;,;,p
il,il,51
n',ne,60
y,y,52
avait,avoir,18
que,que,83
des,de,81
des,le,71
yeux,oeil,21
fixes,fixe,30
et,et,82
des,de,81
des,le,71
coeurs,coeur,21
émus,ému,31
/.,/.,P
personne,personne,52
ne,ne,60
se,se,51
rappelait,rappeler,18
plus,plus,60
le,le,71
rôle,rôle,21
que,que,83
chacun,chacun,52
pouvait,pouvoir,18
avoir,avoir,14
à,à,81
jouer,jouer,14
;,;,p
l',le,71
avocat,avocat,21
général,général,30
oubliait,oublier,18
qu',que,83
il,il,51
était,être,18
là,là,60
pour,pour,81
requérir,requérir,14
",",",",p
le,le,71
président,président,21
qu',que,83
il,il,51
était,être,18
là,là,60
pour,pour,81
présider,présider,14
",",",",p
le,le,71
défenseur,défenseur,21
qu',que,52
il,il,51
était,être,18
là,là,60
pour,pour,81
défendre,défendre,14
/.,/.,P
chose,chose,22
frappante,frappant,30
",",",",p
aucune,aucun,75
question,question,22
ne,ne,60
fut,être,19
faite,faire,12
",",",",p
aucune,aucun,75
autorité,autorité,22
n',ne,60
intervint,intervenir,19
/.,/.,P
le,le,71
propre,propre,30
des,de,81
des,le,71
spectacles,spectacle,21
sublimes,sublime,30
",",",",p
c',ce,52
est,être,17
de,de,81
prendre,prendre,14
toutes,tout,75
les,le,71
âmes,âme,22
et,et,82
de,de,81
faire,faire,14
de,de,81
tous,tout,75
les,le,71
témoins,témoin,21
des,de,81
des,le,71
spectateurs,spectateur,21
/.,/.,P
aucun,aucun,75
peut-être,peut-être,60
ne,ne,60
se,se,51
rendait,rendre,18
compte,compte,21
de,de,81
ce,ce,52
qu',que,52
il,il,51
éprouvait,éprouver,18
;,;,p
aucun,aucun,52
",",",",p
sans,sans,81
doute,doute,21
",",",",p
ne,ne,60
se,se,51
disait,dire,18
qu',que,83
il,il,51
voyait,voir,18
resplendir,resplendir,14
là,là,60
une,un,71
grande,grand,30
lumière,lumière,22
;,;,p
tous,tout,52
intérieurement,intérieurement,60
se,se,51
sentaient,sentir,18
éblouis,éblouir,17
/.,/.,P
il,il,51
était,être,18
évident,évident,30
qu',que,83
on,on,51
avait,avoir,18
sous,sous,81
les,le,71
yeux,oeil,21
Jean,Jean,20
Valjean,Valjean,20
/.,/.,P
cela,cela,52
rayonnait,rayonner,18
/.,/.,P
l',le,71
apparition,apparition,22
de,de,81
cet,ce,74
homme,homme,21
avait,avoir,18
suffi,suffire,12
pour,pour,81
remplir,remplir,14
de,de,81
clarté,clarté,22
cette,ce,74
aventure,aventure,22
si,si,60
obscure,obscur,30
le,le,71
moment,moment,21
d',de,81
auparavant,auparavant,60
/.,/.,P
sans,sans,81
qu',que,83
il,il,51
fût,être,19
besoin,besoin,21
d',de,81
aucune,aucun,75
explication,explication,22
désormais,désormais,60
",",",",p
toute,tout,75
cette,ce,74
foule,foule,22
",",",",p
comme,comme,83
par,par,81
une,un,71
sorte,sorte,22
de,de,81
révélation,révélation,22
électrique,électrique,30
",",",",p
comprit,comprendre,19
tout,tout,60
de,de,81
suite,suite,22
et,et,82
d',de,81
un,un,71
seul,seul,30
coup,coup,21
d',de,81
oeil,oeil,21
cette,ce,74
simple,simple,30
et,et,82
magnifique,magnifique,30
histoire,histoire,22
d',de,81
un,un,71
homme,homme,21
qui,qui,52
se,se,51
livrait,livrer,18
pour,pour,81
qu',que,83
un,un,71
autre,autre,75
homme,homme,21
ne,ne,60
fût,être,19
pas,pas,60
condamné,condamner,12
à,à,81
sa,son,73
place,place,22
/.,/.,P
les,le,71
détails,détail,21
",",",",p
les,le,71
hésitations,hésitation,22
",",",",p
les,le,71
petites,petit,30
résistances,résistance,22
possibles,possible,30
se,se,51
perdirent,perdre,19
dans,dans,81
ce,ce,74
vaste,vaste,30
fait,fait,21
lumineux,lumineux,30
/.,/.,P
impression,impression,22
qui,qui,52
passa,passer,19
vite,vite,60
",",",",p
mais,mais,82
qui,qui,52
dans,dans,81
l',le,71
instant,instant,21
fut,être,19
irrésistible,irrésistible,30
/.,/.,P
-,-,p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
déranger,déranger,14
davantage,davantage,60
l',le,71
audience,audience,22
",",",",p
reprit,reprendre,19
Jean,Jean,20
Valjean,Valjean,20
/.,/.,P
je,je,51
m',je,51
en,en,52
vais,aller,17
",",",",p
puisqu',puisque,83
on,on,51
ne,ne,60
m',je,51
arrête,arrêter,17
pas,pas,60
/.,/.,P
j',je,51
ai,avoir,17
plusieurs,plusieurs,75
choses,chose,22
à,à,81
faire,faire,14
/.,/.,P
monsieur,monsieur,21
l',le,71
avocat,avocat,21
général,général,30
sait,savoir,17
qui,qui,52
je,je,51
suis,être,17
",",",",p
il,il,51
sait,savoir,17
où,où,60
je,je,51
vais,aller,17
",",",",p
il,il,51
me,je,51
fera,faire,15
arrêter,arrêter,14
quand,quand,83
il,il,51
voudra,vouloir,15
/.,/.,P
il,il,51
se,se,51
dirigea,diriger,19
vers,vers,81
la,le,71
porte,porte,22
de,de,81
sortie,sortie,22
/.,/.,P
pas,pas,60
une,un,71
voix,voix,22
ne,ne,60
s',se,51
éleva,élever,19
",",",",p
pas,pas,60
un,un,71
bras,bras,21
ne,ne,60
s',se,51
étendit,étendre,19
pour,pour,81
l',le,52
empêcher,empêcher,14
/.,/.,P
tous,tout,52
s',se,51
écartèrent,écarter,19
/.,/.,P
il,il,51
avait,avoir,18
en,en,81
ce,ce,74
moment,moment,21
ce,ce,52
je,je,51
ne,ne,60
sais,savoir,17
quoi,quoi,52
de,de,81
divin,divin,30
qui,qui,52
fait,faire,17
que,que,83
les,le,71
multitudes,multitude,22
reculent,reculer,17
et,et,82
se,se,51
rangent,ranger,17
devant,devant,81
un,un,71
homme,homme,21
/.,/.,P
il,il,51
traversa,traverser,19
la,le,71
foule,foule,22
à,à,81
pas,pas,21
lents,lent,30
/.,/.,P
on,on,51
n',ne,60
a,avoir,17
jamais,jamais,60
su,savoir,12
qui,qui,52
ouvrit,ouvrir,19
la,le,71
porte,porte,22
",",",",p
mais,mais,82
il,il,51
est,être,17
certain,certain,30
que,que,83
la,le,71
porte,porte,22
se,se,51
trouva,trouver,19
ouverte,ouvert,31
lorsqu',lorsque,83
il,il,51
y,y,52
parvint,parvenir,19
/.,/.,P
arrivé,arrivé,31
là,là,60
",",",",p
il,il,51
se,se,51
retourna,retourner,19
et,et,82
dit,dire,19
:,:,p
-,-,p
monsieur,monsieur,21
l',le,71
avocat,avocat,21
général,général,30
",",",",p
je,je,51
reste,rester,17
à,à,81
votre,votre,73
disposition,disposition,22
/.,/.,P
puis,puis,60
il,il,51
s',se,51
adressa,adresser,19
à,à,81
l',le,71
auditoire,auditoire,21
:,:,p
-,-,p
vous,vous,51
tous,tout,52
",",",",p
tous,tout,75
ceux,celui,52
qui,qui,52
sont,être,17
ici,ici,60
",",",",p
vous,vous,51
me,je,51
trouvez,trouver,17
digne,digne,30
de,de,81
pitié,pitié,22
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
mon,mon,73
dieu,dieu,21
!,!,p
quand,quand,83
je,je,51
pense,penser,17
à,à,81
ce,ce,52
que,que,52
j',je,51
ai,avoir,17
été,être,12
sur,sur,81
le,le,71
point,point,21
de,de,81
faire,faire,14
",",",",p
je,je,51
me,je,51
trouve,trouver,17
digne,digne,30
d',de,81
envie,envie,22
/.,/.,P
cependant,cependant,82
j',je,51
aurais,avoir,16
mieux,mieux,60
aimé,aimer,12
que,que,83
tout,tout,75
ceci,ceci,52
n',ne,60
arrivât,arriver,18
pas,pas,60
/.,/.,P
il,il,51
sortit,sortir,19
",",",",p
et,et,82
la,le,71
porte,porte,22
se,se,51
referma,refermer,19
comme,comme,83
elle,il,51
avait,avoir,18
été,être,12
ouverte,ouvrir,12
",",",",p
car,car,82
ceux,celui,52
qui,qui,52
font,faire,17
de,de,81
certaines,certain,75
choses,chose,22
souveraines,souverain,30
sont,être,17
toujours,toujours,60
sûrs,sûr,30
d',de,81
être,être,14
servis,servir,12
par,par,81
quelqu'un,quelqu'un,52
dans,dans,81
la,le,71
foule,foule,22
/.,/.,P
moins,moins,60
d',de,81
/.,/.,P
